[2025-02-03 17:46:46.202679] [0x0000007fb948d010] [MocapTag] [0x0000550f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:46:46.277651] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [27] , 0.275644, 0.0201012, -0.21632, -0.149309, -0.999921, 0.00783808, 0.00834873, 0.00527055, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.282069] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [28] , 0.275644, 0.0201014, -0.216324, -0.149303, -0.999921, 0.00781502, 0.00827677, 0.00527499, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.285038] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [29] , 0.275644, 0.0201014, -0.216324, -0.149303, -0.999921, 0.00781502, 0.00827677, 0.00527499, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.287696] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [30] , 0.285631, 0.0201014, -0.216324, -0.149303, -0.999921, 0.00781502, 0.00827677, 0.00527499, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.290245] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [31] , 0.285631, 0.020095, -0.216341, -0.149329, -0.999921, 0.00780916, 0.00836045, 0.0052674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.293045] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [32] , 0.285631, 0.020095, -0.216341, -0.149329, -0.999921, 0.00780916, 0.00836045, 0.0052674, 0, 0, -0.00262748, 0, 0, 0, 
[2025-02-03 17:46:46.296919] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [33] , 0.295631, 0.020095, -0.216341, -0.149329, -0.999921, 0.00780916, 0.00836045, 0.0052674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.299131] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [34] , 0.295631, 0.020095, -0.216341, -0.149329, -0.999921, 0.00780916, 0.00836045, 0.0052674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.300978] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [35] , 0.295631, 0.0201314, -0.216354, -0.149351, -0.999921, 0.00774578, 0.0084157, 0.00523121, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.304134] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [36] , 0.295631, 0.0201314, -0.216354, -0.149351, -0.999921, 0.00774578, 0.0084157, 0.00523121, 0.00363795, 0, -0.00220144, 0, 0, 0, 
[2025-02-03 17:46:46.306388] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [37] , 0.305638, 0.0201314, -0.216354, -0.149351, -0.999921, 0.00774578, 0.0084157, 0.00523121, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.309195] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [38] , 0.305638, 0.0201136, -0.216346, -0.149376, -0.99992, 0.00779911, 0.00844021, 0.00523339, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.313520] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [39] , 0.305638, 0.0201136, -0.216346, -0.149376, -0.99992, 0.00779911, 0.00844021, 0.00523339, 0, 0, -0.00247481, 0, 0, 0, 
[2025-02-03 17:46:46.316144] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [40] , 0.315653, 0.0201136, -0.216346, -0.149376, -0.99992, 0.00779911, 0.00844021, 0.00523339, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.319429] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [41] , 0.315653, 0.0200941, -0.216339, -0.149371, -0.999921, 0.00781042, 0.00837035, 0.00528037, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.324062] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [42] , 0.315653, 0.0200941, -0.216339, -0.149371, -0.999921, 0.00781042, 0.00837035, 0.00528037, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.324611] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [43] , 0.315653, 0.0200941, -0.216339, -0.149371, -0.999921, 0.00781042, 0.00837035, 0.00528037, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:46:46.327303] [0x0000007fb4a669a0] [MocapTag] [0x0000550f] [44] , 0.325639, 0.0200941, -0.216339, -0.149371, -0.999921, 0.00781042, 0.00837035, 0.00528037, 0, 0, 0, 0, 0, 0, 
