[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:07.964443] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [26] , 0.956662, -0.00956778, -0.190911, -0.143428, -0.999861, -0.0036044, 0.0140214, 0.00828811, 0, 0, -0.00264735, 0, 0, 0, 
[2025-02-03 14:43:07.970199] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [27] , 0.966653, -0.00956778, -0.190911, -0.143428, -0.999861, -0.0036044, 0.0140214, 0.00828811, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.972783] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [28] , 0.966653, -0.00957174, -0.190925, -0.143449, -0.999862, -0.00356691, 0.0139488, 0.00829936, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.975797] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [29] , 0.966653, -0.00957174, -0.190925, -0.143449, -0.999862, -0.00356691, 0.0139488, 0.00829936, 0, 0, -0.00211063, 0, 0, 0, 
[2025-02-03 14:43:07.978582] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [30] , 0.976649, -0.00957174, -0.190925, -0.143449, -0.999862, -0.00356691, 0.0139488, 0.00829936, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.981658] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [31] , 0.976649, -0.00957174, -0.190925, -0.143449, -0.999862, -0.00356691, 0.0139488, 0.00829936, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.984734] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [32] , 0.976649, -0.00957063, -0.190934, -0.143439, -0.999863, -0.00355526, 0.0138709, 0.00828242, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.987578] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [33] , 0.986649, -0.00957063, -0.190934, -0.143439, -0.999863, -0.00355526, 0.0138709, 0.00828242, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.990352] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [34] , 0.986649, -0.00957063, -0.190934, -0.143439, -0.999863, -0.00355526, 0.0138709, 0.00828242, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:07.992922] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [35] , 0.986649, -0.00957618, -0.190935, -0.143411, -0.999865, -0.00356387, 0.0137765, 0.00826557, 0, 0, 0, 0, 0, 0, 
