[2024-10-16 17:54:22.609861] [0x0000007f8e48c010] [VioTag] [0x000063df] [3] , Controller time [s], VIO Position x [m], VIO Position y [m], VIO Position z [m], VIO velocity x [m/s], VIO velocity y [m/s], VIO velocity z [m/s], VIO acceleration x [m/s^2], VIO acceleration y [m/s^2], VIO acceleration z [m/s^2], VIO Quaternion q0 [-], VIO Quaternion q1 [-], VIO Quaternion q2 [-], VIO Quaternion q3 [-], VIO Angular velocity x [rad/s], VIO Angular velocity y [rad/s], VIO Angular velocity z [rad/s], VIO Angular acceleration x [rad/s], VIO Angular acceleration y [rad/s], VIO Angular acceleration z [rad/s], VIO pose confidence level [-], VIO map confidence level [-], 
[2024-10-16 17:54:23.305779] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [236] , 6.29648, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.999556, -0.00239691, -0.0296505, -0.00185809, 0.00538358, -0.0231682, -0.0130561, 0.00538358, -0.0231682, -0.0130561, 2, 0, 
[2024-10-16 17:54:23.313274] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [240] , 6.30652, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.99944, 0.000984293, -0.0334196, -0.00155453, 0.00559609, 0.058556, 0.00341023, 0.00559609, 0.058556, 0.00341023, 2, 0, 
[2024-10-16 17:54:23.314972] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [241] , 6.30652, -0, 0, -0, -0, 0, -0, -0, 0, -0, 0.999446, 0.00101264, -0.0332502, -0.00128022, -0.00628282, 0.0159572, 0.0236391, -0.00628282, 0.0159572, 0.0236391, 2, 0, 
[2024-10-16 17:54:23.320051] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [244] , 6.31649, -1.47444e-05, -3.10819e-05, -0.000386699, -0.000917976, -0.00193513, -0.0240756, -0.0286093, -0.0603096, -0.750331, 0.999553, -0.00200492, -0.02983, 0.000191944, -0.00173447, -0.0734525, -0.00229422, -0.00173447, -0.0734525, -0.00229422, 2, 0, 
[2024-10-16 17:54:23.325027] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [247] , 6.31649, 2.61976e-05, -4.71006e-05, -0.000500084, 0.00363407, -0.00284309, -0.0260742, 0.25515, -0.0982663, -0.641707, 0.999552, -0.0020055, -0.0298696, 0.000149667, 0.000887158, -0.0121081, -0.0241504, 0.000887158, -0.0121081, -0.0241504, 2, 0, 
[2024-10-16 17:54:23.330267] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [249] , 6.3265, 4.92549e-05, -6.26043e-05, -0.000641009, 0.00514024, -0.00333923, -0.0295983, 0.268396, -0.0984886, -0.659567, 0.999555, -0.00202451, -0.029764, 0.000125427, 6.39339e-05, 0.0719521, 0.00773623, 6.39339e-05, 0.0719521, 0.00773623, 2, 0, 
[2024-10-16 17:54:23.335168] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [252] , 6.3265, 8.19393e-05, -8.06154e-05, -0.00080087, 0.00683982, -0.00383743, -0.0332317, 0.284378, -0.0987053, -0.674328, 0.999559, -0.00199718, -0.0296363, 0.000168548, -0.00187999, -0.00354665, 0.0221188, -0.00187999, -0.00354665, 0.0221188, 2, 0, 
[2024-10-16 17:54:23.339984] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [255] , 6.33651, 0.000105019, -8.88721e-05, -0.000969724, 0.00642594, -0.00262165, -0.0357255, 0.149326, 0.0371953, -0.602393, 0.999556, -0.00197855, -0.0297344, 0.000189222, 0.00293807, -0.0662731, -0.00858942, 0.00293807, -0.0662731, -0.00858942, 2, 0, 
[2024-10-16 17:54:23.345126] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [257] , 6.33651, 0.000139859, -0.000101542, -0.00115623, 0.00750811, -0.00243802, -0.0387859, 0.178468, 0.0369759, -0.606315, 0.999553, -0.00198891, -0.0298365, 0.000147172, 0.00344841, 0.0105377, -0.0133577, 0.00344841, 0.0105377, -0.0133577, 2, 0, 
[2024-10-16 17:54:23.350024] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [259] , 6.3465, 0.000179679, -0.000113278, -0.00135764, 0.00840816, -0.00225228, -0.0417484, 0.178948, 0.0370057, -0.601803, 0.999556, -0.00198767, -0.0297215, 0.000146591, -0.000336345, 0.0560328, 0.0143118, -0.000336345, 0.0560328, 0.0143118, 2, 0, 
[2024-10-16 17:54:23.355146] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [263] , 6.3465, -0.0018214, -0.000424218, -0.000581118, -0.0294214, -0.00577746, -0.0275842, -0.0916406, 0.0450148, -0.588763, 0.999591, -0.00166602, -0.0285583, 0.000139724, -0.00880679, -0.0185231, 0.0141899, -0.00880679, -0.0185231, 0.0141899, 2, 0, 
[2024-10-16 17:54:23.360179] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [265] , 6.35647, -0.00196893, -0.00045268, -0.000725555, -0.0297652, -0.00555431, -0.0303967, -0.0858122, 0.0449901, -0.581813, 0.999587, -0.00168231, -0.0286904, 0.000147722, 0.00232842, -0.0566559, -0.0163031, 0.00232842, -0.0566559, -0.0163031, 2, 0, 
[2024-10-16 17:54:23.365300] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [268] , 6.35647, -0.00211544, -0.000480097, -0.000884733, -0.0298732, -0.00533319, -0.0332846, -0.0728092, 0.0449026, -0.580808, 0.999585, -0.00169104, -0.0287469, 9.56898e-05, 0.00665352, 0.0256311, -0.0121969, 0.00665352, 0.0256311, -0.0121969, 2, 0, 
[2024-10-16 17:54:23.370147] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [271] , 6.36651, -0.00228224, -0.000503884, -0.00108628, -0.0321977, -0.0048293, -0.0393919, -0.205444, 0.0635511, -0.793471, 0.999589, -0.00168793, -0.028632, 9.90131e-05, -0.00345305, 0.046554, 0.0141863, -0.00345305, 0.046554, 0.0141863, 2, 0, 
[2024-10-16 17:54:23.375247] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [274] , 6.36651, -0.00245167, -0.000527177, -0.00129183, -0.0336707, -0.00450699, -0.0432356, -0.224499, 0.0637096, -0.787931, 0.99959, -0.00167746, -0.028603, 0.000136513, -0.00320969, -0.0294365, 0.00807648, -0.00320969, -0.0294365, 0.00807648, 2, 0, 
[2024-10-16 17:54:23.380282] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [276] , 6.37648, -0.00262279, -0.000548951, -0.00151893, -0.0347751, -0.00418836, -0.0472289, -0.223806, 0.0636957, -0.789621, 0.999586, -0.00168822, -0.0287158, 0.000123972, 0.00065337, -0.0353118, -0.021845, 0.00065337, -0.0353118, -0.021845, 2, 0, 
[2024-10-16 17:54:23.385153] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [278] , 6.37648, -0.00279156, -0.000569232, -0.00177051, -0.0354261, -0.00387434, -0.0514825, -0.209716, 0.0635523, -0.798614, 0.999586, -0.00171173, -0.0287225, 7.22351e-05, 0.00543013, 0.0311292, -0.0112236, 0.00543013, 0.0311292, -0.0112236, 2, 0, 
[2024-10-16 17:54:23.390148] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [281] , 6.38649, -0.000487289, -7.05182e-06, -0.00140544, 0.015107, 0.00657157, -0.0503855, 0.411696, 0.122693, -0.890941, 0.99888, 0.00296398, -0.047223, -4.56486e-05, 0.00124651, 0.0250337, 0.0256127, 0.00124651, 0.0250337, 0.0256127, 2, 0, 
[2024-10-16 17:54:23.395109] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [284] , 6.38649, -0.000406574, 2.91204e-05, -0.00166915, 0.0168322, 0.00722337, -0.0547223, 0.392663, 0.12315, -0.883498, 0.99888, 0.00300955, -0.0472305, 5.09067e-06, -0.00229532, -0.0339166, 0.00791163, -0.00229532, -0.0339166, 0.00791163, 2, 0, 
[2024-10-16 17:54:23.400407] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [286] , 6.3965, -0.000318703, 6.743e-05, -0.00195426, 0.0186628, 0.00785181, -0.0590564, 0.387302, 0.123276, -0.879215, 0.998876, 0.00300033, -0.0473054, -1.78189e-05, 0.00376292, -0.0158343, -0.0229188, 0.00376292, -0.0158343, -0.0229188, 2, 0, 
[2024-10-16 17:54:23.405426] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [289] , 6.3965, -0.000231397, 8.93694e-05, -0.00224639, 0.0194363, 0.00655529, -0.0619617, 0.31087, 0.00822698, -0.788692, 0.998877, 0.00297989, -0.0472773, -5.95108e-05, -0.00241028, 0.0482797, -0.00383246, -0.00241028, 0.0482797, -0.00383246, 2, 0, 
[2024-10-16 17:54:23.410106] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [291] , 6.40648, -0.000133055, 0.000121996, -0.00256685, 0.0206784, 0.00659363, -0.0659662, 0.293405, 0.00831365, -0.791821, 0.998882, 0.00298092, -0.0471802, -2.82111e-05, -0.0047447, 0.0122864, 0.0207338, -0.0047447, 0.0122864, 0.0207338, 2, 0, 
[2024-10-16 17:54:23.415161] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [294] , 6.40648, -1.97774e-05, 0.000155658, -0.00291172, 0.0225612, 0.00664344, -0.0702661, 0.310254, 0.0083316, -0.80564, 0.998879, 0.00299574, -0.0472356, -2.95637e-07, -0.00176803, -0.0382815, -0.00824808, -0.00176803, -0.0382815, -0.00824808, 2, 0, 
[2024-10-16 17:54:23.420147] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [297] , 6.41649, 0.000532573, 5.16326e-05, -0.00185625, 0.0399137, 0.00652518, -0.0560837, 0.450902, 0.0551089, -0.572623, 0.998523, 0.00340971, -0.0542332, 1.32824e-06, 0.00753944, -0.000969513, -0.0159947, 0.00753944, -0.000969513, -0.0159947, 2, 0, 
[2024-10-16 17:54:23.425200] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [300] , 6.41649, 0.000738004, 8.50207e-05, -0.00214442, 0.0421769, 0.00680169, -0.0589262, 0.451355, 0.0551104, -0.570762, 0.998526, 0.00341813, -0.0541734, -1.46442e-05, -0.00135858, 0.032431, 0.0071703, -0.00135858, 0.032431, 0.0071703, 2, 0, 
[2024-10-16 17:54:23.430169] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [302] , 6.42649, 0.000954972, 0.000119752, -0.00244658, 0.0444596, 0.00707727, -0.061771, 0.45245, 0.0551013, -0.570087, 0.998528, 0.0034197, -0.05414, 2.26508e-05, -0.00871177, -0.015688, 0.0158084, -0.00871177, -0.015688, 0.0158084, 2, 0, 
[2024-10-16 17:54:23.435285] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [305] , 6.42649, 0.00120665, 0.000161274, -0.00275914, 0.0492427, 0.00793744, -0.0641847, 0.614179, 0.0925275, -0.541823, 0.998523, 0.00342571, -0.0542278, 4.21547e-05, 0.0047138, -0.0286949, -0.00862081, 0.0047138, -0.0286949, -0.00862081, 2, 0, 
[2024-10-16 17:54:23.440248] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [308] , 6.43649, 0.00146761, 0.000202207, -0.00308798, 0.0529051, 0.00839857, -0.0669598, 0.643259, 0.0923637, -0.544922, 0.998522, 0.0034201, -0.0542433, -6.07234e-06, 0.00754331, 0.0216438, -0.015815, 0.00754331, 0.0216438, -0.015815, 2, 0, 
[2024-10-16 17:54:23.445188] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [310] , 6.43649, 0.0017391, 0.000245412, -0.00342932, 0.0560193, 0.00886118, -0.0696272, 0.639049, 0.0923775, -0.542467, 0.998526, 0.00342243, -0.0541684, -1.51266e-05, -0.00209301, 0.0196293, 0.0134293, -0.00209301, 0.0196293, 0.0134293, 2, 0, 
[2024-10-16 17:54:23.450170] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [313] , 6.4465, 0.00200827, 0.000292654, -0.00378063, 0.0571213, 0.00957702, -0.072024, 0.49453, 0.112619, -0.526348, 0.998526, 0.00343361, -0.0541742, 2.63257e-05, -0.00664687, -0.0243377, 0.00747954, -0.00664687, -0.0243377, 0.00747954, 2, 0, 
[2024-10-16 17:54:23.455300] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [316] , 6.4465, 0.00122547, 0.000395319, -0.00215046, 0.0488621, 0.0140495, -0.0540568, 0.466065, 0.150242, -0.531261, 0.998544, 0.00522889, -0.0536913, -4.27141e-05, 0.0022727, -0.0189477, -0.0165602, 0.0022727, -0.0189477, -0.0165602, 2, 0, 
[2024-10-16 17:54:23.460269] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [318] , 6.45649, 0.00147615, 0.000467661, -0.00242776, 0.0513832, 0.014802, -0.0567066, 0.47683, 0.150177, -0.5307, 0.998544, 0.00522122, -0.0536904, -8.11714e-05, 0.00417455, 0.0216494, -0.00524726, 0.00417455, 0.0216494, -0.00524726, 2, 0, 
[2024-10-16 17:54:23.465770] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [321] , 6.45649, 0.0017344, 0.000553898, -0.00274636, 0.0532274, 0.016739, -0.0626116, 0.44063, 0.228987, -0.746397, 0.998548, 0.00523074, -0.0536247, -6.29022e-05, -0.00611701, 0.0162241, 0.0206634, -0.00611701, 0.0162241, 0.0206634, 2, 0, 
[2024-10-16 17:54:23.470702] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [324] , 6.46649, 0.00200088, 0.00064051, -0.00306782, 0.0548801, 0.0178869, -0.0662086, 0.415635, 0.229095, -0.74004, 0.998547, 0.00524079, -0.0536392, -1.0622e-05, -0.00674047, -0.0307317, 0.00842705, -0.00674047, -0.0307317, 0.00842705, 2, 0, 
[2024-10-16 17:54:23.475346] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [326] , 6.46649, 0.00227907, 0.000732907, -0.00340529, 0.0568065, 0.019033, -0.0696584, 0.40983, 0.229062, -0.730643, 0.998543, 0.00523583, -0.0537073, -1.92424e-05, 0.0101546, 8.67155e-05, -0.0112382, 0.0101546, 8.67155e-05, -0.0112382, 2, 0, 
[2024-10-16 17:54:23.480549] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [329] , 6.47649, 0.00257537, 0.000831058, -0.00375969, 0.0592873, 0.0201761, -0.0730892, 0.423088, 0.228925, -0.723579, 0.998546, 0.00524959, -0.0536499, -4.88277e-05, 0.00222943, 0.0282256, 0.00324001, 0.00222943, 0.0282256, 0.00324001, 2, 0, 
[2024-10-16 17:54:23.485496] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [332] , 6.47649, 0.00286533, 0.000925252, -0.00414061, 0.0596771, 0.0201847, -0.0775528, 0.297346, 0.153107, -0.785231, 0.998548, 0.00525669, -0.053621, -1.46076e-05, -0.00691238, -0.00627844, 0.0182621, -0.00691238, -0.00627844, 0.0182621, 2, 0, 
[2024-10-16 17:54:23.490257] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [334] , 6.48646, 0.00131529, 0.00020794, -0.00231027, 0.0484889, 0.00963377, -0.0585623, 0.448307, 0.0876048, -0.725036, 0.998924, 0.00228349, -0.0463234, 5.90355e-05, -0.00299059, -0.0276436, -0.00808173, -0.00299059, -0.0276436, -0.00808173, 2, 0, 
[2024-10-16 17:54:23.495318] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [337] , 6.48646, 0.00156147, 0.000256774, -0.00261036, 0.0505011, 0.0100656, -0.0619936, 0.439079, 0.0876107, -0.717352, 0.998922, 0.00226171, -0.046365, 1.91451e-05, 0.00933163, 0.00230772, -0.015719, 0.00933163, 0.00230772, -0.015719, 2, 0, 
[2024-10-16 17:54:23.500515] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [340] , 6.49648, 0.00177911, 0.000308537, -0.00293094, 0.0483731, 0.0105323, -0.0657962, 0.171758, 0.0893549, -0.734606, 0.998924, 0.00227472, -0.0463299, 3.91452e-06, -0.0027455, 0.0162576, 0.0124126, -0.0027455, 0.0162576, 0.0124126, 2, 0, 
[2024-10-16 17:54:23.505318] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [342] , 6.49648, 0.00201791, 0.00036262, -0.00327167, 0.0486842, 0.0109864, -0.06968, 0.142154, 0.0895889, -0.7457, 0.998924, 0.0022829, -0.0463146, 5.33828e-05, -0.00438977, -0.00835818, 0.0166165, -0.00438977, -0.00835818, 0.0166165, 2, 0, 
[2024-10-16 17:54:23.510333] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [345] , 6.50649, 0.0022625, 0.000418714, -0.00363291, 0.0493319, 0.0114351, -0.0736489, 0.139539, 0.0896221, -0.755651, 0.998923, 0.00229358, -0.0463415, 6.64988e-05, 0.000952581, -0.00208731, -0.00449775, 0.000952581, -0.00208731, -0.00449775, 2, 0, 
[2024-10-16 17:54:23.515695] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [348] , 6.50649, 0.00252783, 0.000473531, -0.00401505, 0.0522946, 0.01139, -0.0777033, 0.315667, 0.0502921, -0.76576, 0.998924, 0.00228381, -0.0463173, 4.14152e-05, 0.00781119, 0.0152544, -0.011404, 0.00781119, 0.0152544, -0.011404, 2, 0, 
[2024-10-16 17:54:23.520383] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [350] , 6.5165, 0.000841745, 2.76656e-05, -0.00222332, 0.0321601, 0.00556269, -0.057718, 0.191595, 0.0233311, -0.689932, 0.999135, 0.00102159, -0.0415716, 0.000118621, -0.00145041, -0.000811358, 0.0104013, -0.00145041, -0.000811358, 0.0104013, 2, 0, 
[2024-10-16 17:54:23.525375] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [353] , 6.5165, 0.0010048, 5.59531e-05, -0.00252093, 0.0331107, 0.00568197, -0.061172, 0.19177, 0.0233422, -0.68994, 0.999134, 0.00102575, -0.0416031, 0.000155456, -0.0065131, -0.0201694, 0.00585305, -0.0065131, -0.0201694, 0.00585305, 2, 0, 
[2024-10-16 17:54:23.530423] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [356] , 6.52649, 0.00118993, 8.72988e-05, -0.0028232, 0.0359823, 0.00608697, -0.0631982, 0.315966, 0.0420183, -0.597206, 0.999133, 0.00101644, -0.0416309, 0.000145893, 0.00464069, 0.00857596, -0.0127285, 0.00464069, 0.00857596, -0.0127285, 2, 0, 
[2024-10-16 17:54:23.535360] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [358] , 6.52649, 0.00137677, 0.000118239, -0.00314726, 0.0378085, 0.00629512, -0.0662007, 0.327868, 0.0419379, -0.597792, 0.999135, 0.00101765, -0.0415809, 0.000109734, 0.00951106, 0.0184929, -0.00693849, 0.00951106, 0.0184929, -0.00693849, 2, 0, 
[2024-10-16 17:54:23.540286] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [361] , 6.53653, 0.0015683, 0.000150291, -0.00348957, 0.0393133, 0.00650579, -0.0694389, 0.32253, 0.0419665, -0.607366, 0.999135, 0.00102299, -0.0415749, 0.000110334, -0.0120048, -0.016875, 0.00954633, -0.0120048, -0.016875, 0.00954633, 2, 0, 
[2024-10-16 17:54:23.545293] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [364] , 6.53653, 0.00174808, 0.000187002, -0.00385916, 0.0386672, 0.00721856, -0.0741458, 0.169311, 0.0818765, -0.72668, 0.999133, 0.0010014, -0.0416344, 0.00014638, -0.0059, -0.0191884, -0.0027185, -0.0059, -0.0191884, -0.0027185, 2, 0, 
[2024-10-16 17:54:23.550425] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [366] , 6.54648, 0.00194261, 0.00022422, -0.0042396, 0.0397935, 0.00762723, -0.0777691, 0.197143, 0.0816975, -0.725138, 0.999132, 0.00100324, -0.0416347, 0.000121898, 0.0114096, 0.0225171, -0.00362547, 0.0114096, 0.0225171, -0.00362547, 2, 0, 
[2024-10-16 17:54:23.555399] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [369] , 6.54648, 0.000666895, 2.40315e-05, -0.00223265, 0.0215224, 0.0061335, -0.0526861, 0.0462494, 0.0739869, -0.642398, 0.999235, 0.000626968, -0.0390967, 0.000143711, 0.00605759, 0.00784712, 0.00905372, 0.00605759, 0.00784712, 0.00905372, 2, 0, 
[2024-10-16 17:54:23.560465] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [372] , 6.5565, 0.000775898, 5.55748e-05, -0.00250645, 0.0218041, 0.0065024, -0.0560201, 0.0479823, 0.0739714, -0.646253, 0.999234, 0.00063473, -0.039129, 0.000167698, -0.0129688, -0.0255662, 0.00754574, -0.0129688, -0.0255662, 0.00754574, 2, 0, 
[2024-10-16 17:54:23.565647] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [375] , 6.5565, 0.000923905, 8.54352e-05, -0.00280621, 0.0258688, 0.0065198, -0.0601565, 0.270484, 0.0538093, -0.689776, 0.999232, 0.00061374, -0.0391795, 0.000189279, -0.00068474, -0.00531727, -0.00224204, -0.00068474, -0.00531727, -0.00224204, 2, 0, 
[2024-10-16 17:54:23.570507] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [377] , 6.56648, 0.00105918, 0.000118804, -0.00311448, 0.0275103, 0.00678856, -0.0634206, 0.286418, 0.0537296, -0.679269, 0.999233, 0.000632499, -0.0391559, 0.000167425, 0.0154098, 0.0183647, -0.00102777, 0.0154098, 0.0183647, -0.00102777, 2, 0, 
[2024-10-16 17:54:23.575413] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [380] , 6.56648, 0.00120084, 0.000153502, -0.00344246, 0.0289847, 0.00705741, -0.0669959, 0.288233, 0.053705, -0.686831, 0.999234, 0.000655356, -0.0391265, 0.00015431, 0.00259454, -0.00293515, -0.000886679, 0.00259454, -0.00293515, -0.000886679, 2, 0, 
[2024-10-16 17:54:23.580507] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [383] , 6.57649, 0.00135172, 0.000189605, -0.00379813, 0.0306957, 0.00733653, -0.0720132, 0.308258, 0.0545161, -0.809423, 0.999232, 0.000637899, -0.0391734, 0.000156885, -0.0142883, -0.0287147, -0.00336842, -0.0142883, -0.0287147, -0.00336842, 2, 0, 
[2024-10-16 17:54:23.585301] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [384] , 6.57649, 0.0015092, 0.000227038, -0.00416886, 0.0320933, 0.00761055, -0.076212, 0.29505, 0.0545873, -0.822693, 0.999231, 0.000605873, -0.0392149, 0.000161919, -0.00226972, 0.0105967, -0.00878292, -0.00226972, 0.0105967, -0.00878292, 2, 0, 
[2024-10-16 17:54:23.590620] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [388] , 6.58649, 0.00078248, 0.000184654, -0.00218109, 0.030285, 0.00793421, -0.050927, 0.322579, 0.055836, -0.643744, 0.999308, 0.000716529, -0.0371776, 0.000182764, 0.0138126, 0.0207593, 0.00419458, 0.0138126, 0.0207593, 0.00419458, 2, 0, 
[2024-10-16 17:54:23.595425] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [390] , 6.58649, 0.000906819, 0.000228404, -0.00245596, 0.0286426, 0.00854117, -0.0556343, 0.123796, 0.0758229, -0.74307, 0.999308, 0.000747189, -0.037178, 0.000192788, -0.0044955, -0.020057, 0.00834364, -0.0044955, -0.020057, 0.00834364, 2, 0, 
[2024-10-16 17:54:23.600887] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [393] , 6.59646, 0.00105089, 0.000272205, -0.00274686, 0.0291677, 0.00892202, -0.059738, 0.118556, 0.0758297, -0.764827, 0.999306, 0.000726681, -0.0372427, 0.000217881, -0.0117191, -0.0212686, 0.00231138, -0.0117191, -0.0212686, 0.00231138, 2, 0, 
[2024-10-16 17:54:23.605412] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [395] , 6.59646, 0.00119925, 0.000317857, -0.00305554, 0.0298376, 0.00930165, -0.0635739, 0.121913, 0.0758093, -0.765154, 0.999306, 0.000720401, -0.0372461, 0.000223558, 0.00575144, 0.0236038, -0.00273563, 0.00575144, 0.0236038, -0.00273563, 2, 0, 
[2024-10-16 17:54:23.610398] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [398] , 6.60647, 0.00135129, 0.00036031, -0.00337845, 0.0303958, 0.00894831, -0.0667541, 0.108213, 0.0172323, -0.714938, 0.999309, 0.000741531, -0.0371763, 0.00020451, 0.0128355, 0.0132932, 0.00306655, 0.0128355, 0.0132932, 0.00306655, 2, 0, 
[2024-10-16 17:54:23.615858] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [401] , 6.60647, 0.00150483, 0.000405419, -0.00372114, 0.0309019, 0.00903615, -0.0700707, 0.10496, 0.0172847, -0.69151, 0.999307, 0.000752526, -0.0372049, 0.00021075, -0.0155593, -0.0307846, -3.47435e-05, -0.0155593, -0.0307846, -3.47435e-05, 2, 0, 
[2024-10-16 17:54:23.620423] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [403] , 6.61648, 0.000587743, -1.9487e-05, -0.00213457, 0.0212588, 0.0033807, -0.0550599, 0.0600852, -0.000860401, -0.75708, 0.999363, -0.000171743, -0.0356773, 0.000250117, -0.014507, -0.0148847, -0.00529092, -0.014507, -0.0148847, -0.00529092, 2, 0, 
[2024-10-16 17:54:23.625509] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [406] , 6.61648, 0.000688635, 5.12039e-06, -0.0023862, 0.0208431, 0.00424987, -0.0550398, 0.0133473, 0.0563049, -0.507735, 0.999364, -0.000172149, -0.035648, 0.000239151, 0.0173745, 0.0386108, -0.0019508, 0.0173745, 0.0386108, -0.0019508, 2, 0, 
[2024-10-16 17:54:23.630635] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [409] , 6.62649, 0.000796651, 2.70948e-05, -0.00266327, 0.0212167, 0.00453114, -0.0571562, 0.0279529, 0.0562775, -0.487433, 0.999368, -0.000129583, -0.0355587, 0.000217295, 0.0105426, 0.00910952, 0.00615613, 0.0105426, 0.00910952, 0.00615613, 2, 0, 
[2024-10-16 17:54:23.635762] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [412] , 6.62649, 0.000905997, 5.04779e-05, -0.00295455, 0.0215589, 0.00481194, -0.0595242, 0.0357469, 0.0562371, -0.484651, 0.999366, -0.000123137, -0.0356153, 0.000236659, -0.0109642, -0.0425594, 0.00686195, -0.0109642, -0.0425594, 0.00686195, 2, 0, 
[2024-10-16 17:54:23.640401] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [414] , 6.63647, 0.00101412, 7.36722e-05, -0.00328096, 0.0218528, 0.00486319, -0.0648812, 0.0504637, 0.0378114, -0.709559, 0.999363, -0.000142476, -0.0356881, 0.000257454, -0.00615033, 0.00316813, -0.00144434, -0.00615033, 0.00316813, -0.00144434, 2, 0, 
[2024-10-16 17:54:23.645501] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [417] , 6.63647, 0.00112408, 9.8497e-05, -0.00361418, 0.022126, 0.005052, -0.0685634, 0.0525355, 0.03776, -0.722584, 0.999366, -0.000128719, -0.0356046, 0.000242939, 0.0256114, 0.0494772, 0.00074736, 0.0256114, 0.0494772, 0.00074736, 2, 0, 
[2024-10-16 17:54:23.650760] [0x0000007f6dffa9a0] [VioTag] [0x000063df] [420] , 6.64647, 0.00123531, 0.000124267, -0.00396717, 0.022201, 0.00524085, -0.0726927, 0.0399148, 0.0377401, -0.75685, 0.999369, -7.84296e-05, -0.0355348, 0.000217689, -0.000581193, -0.0143885, 5.20331e-05, -0.000581193, -0.0143885, 5.20331e-05, 2, 0, 
