[2024-10-16 17:54:18.016659] [0x0000007f8e48c010] [MocapTag] [0x000063df] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2024-10-16 17:54:22.614635] [0x0000007f857f99a0] [MocapTag] [0x000063df] [4] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, -0.0122634, -0.00554099, 0.00754964, 0, 0, 0, 
[2024-10-16 17:54:22.618670] [0x0000007f857f99a0] [MocapTag] [0x000063df] [5] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.619012] [0x0000007f857f99a0] [MocapTag] [0x000063df] [6] , 0, -0.166698, -0.314364, -0.107224, -0.999925, -0.00282315, -0.00866695, 0.00813943, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.623558] [0x0000007f857f99a0] [MocapTag] [0x000063df] [7] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.626419] [0x0000007f857f99a0] [MocapTag] [0x000063df] [8] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0.00570749, 0.00754401, -0.019239, 0, 0.0471486, 0, 
[2024-10-16 17:54:22.629045] [0x0000007f857f99a0] [MocapTag] [0x000063df] [9] , 0, -0.166641, -0.314288, -0.107417, -0.999926, -0.00298835, -0.00843271, 0.0081921, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.631744] [0x0000007f857f99a0] [MocapTag] [0x000063df] [10] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.634501] [0x0000007f857f99a0] [MocapTag] [0x000063df] [11] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0.0175016, 0.00807677, 0, -0.0608683, -0.0690367, 0, 
[2024-10-16 17:54:22.637039] [0x0000007f857f99a0] [MocapTag] [0x000063df] [12] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.640677] [0x0000007f857f99a0] [MocapTag] [0x000063df] [13] , 0, -0.166466, -0.314207, -0.107414, -0.999925, -0.00268141, -0.0087753, 0.00816533, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.643318] [0x0000007f857f99a0] [MocapTag] [0x000063df] [14] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.647036] [0x0000007f857f99a0] [MocapTag] [0x000063df] [15] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, -0.00334167, -0.00394376, 0.0101783, 0.041008, 0.0350861, 0, 
[2024-10-16 17:54:22.648909] [0x0000007f857f99a0] [MocapTag] [0x000063df] [16] , 0, -0.166499, -0.314247, -0.107312, -0.999925, -0.00288765, -0.00860163, 0.00818893, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.651657] [0x0000007f857f99a0] [MocapTag] [0x000063df] [17] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.656341] [0x0000007f857f99a0] [MocapTag] [0x000063df] [18] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, -0.00564923, -0.00403304, 0.00413091, 0, 0, 0, 
[2024-10-16 17:54:22.658911] [0x0000007f857f99a0] [MocapTag] [0x000063df] [19] , 0, -0.166556, -0.314287, -0.107271, -0.999925, -0.00287673, -0.00868177, 0.00811332, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.661459] [0x0000007f857f99a0] [MocapTag] [0x000063df] [20] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.664804] [0x0000007f857f99a0] [MocapTag] [0x000063df] [21] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, -0.00320109, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.667630] [0x0000007f857f99a0] [MocapTag] [0x000063df] [22] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.673420] [0x0000007f857f99a0] [MocapTag] [0x000063df] [23] , 0, -0.166588, -0.314275, -0.107263, -0.999925, -0.00283671, -0.00866228, 0.00814684, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.674279] [0x0000007f857f99a0] [MocapTag] [0x000063df] [24] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.677157] [0x0000007f857f99a0] [MocapTag] [0x000063df] [25] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0.00202757, 0, 0, 0, 
[2024-10-16 17:54:22.679788] [0x0000007f857f99a0] [MocapTag] [0x000063df] [26] , 0, -0.166601, -0.31427, -0.107243, -0.999925, -0.00283363, -0.008673, 0.0081349, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.682417] [0x0000007f857f99a0] [MocapTag] [0x000063df] [27] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.685212] [0x0000007f857f99a0] [MocapTag] [0x000063df] [28] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.688306] [0x0000007f857f99a0] [MocapTag] [0x000063df] [29] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.690938] [0x0000007f857f99a0] [MocapTag] [0x000063df] [30] , 0, -0.166593, -0.314289, -0.107238, -0.999926, -0.00281528, -0.00863187, 0.00810249, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.693474] [0x0000007f857f99a0] [MocapTag] [0x000063df] [31] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.696369] [0x0000007f857f99a0] [MocapTag] [0x000063df] [32] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0.00218807, -0.0142513, -0.121355, 0.21033, 0, 
[2024-10-16 17:54:22.698961] [0x0000007f857f99a0] [MocapTag] [0x000063df] [33] , 0, -0.166613, -0.314267, -0.10738, -0.999935, -0.00221637, -0.00757559, 0.00820476, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.703443] [0x0000007f857f99a0] [MocapTag] [0x000063df] [34] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.706189] [0x0000007f857f99a0] [MocapTag] [0x000063df] [35] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0.00866746, 0.00340316, 0.0116476, 0.0918388, -0.250331, 0.0582734, 
[2024-10-16 17:54:22.708791] [0x0000007f857f99a0] [MocapTag] [0x000063df] [36] , 0, -0.166526, -0.314233, -0.107264, -0.999921, -0.00266259, -0.0088317, 0.00848912, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.711486] [0x0000007f857f99a0] [MocapTag] [0x000063df] [37] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.714183] [0x0000007f857f99a0] [MocapTag] [0x000063df] [38] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, -0.00297295, -0.00693165, 0, 0.0354767, 0, -0.0742743, 
[2024-10-16 17:54:22.717226] [0x0000007f857f99a0] [MocapTag] [0x000063df] [39] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.721268] [0x0000007f857f99a0] [MocapTag] [0x000063df] [40] , 0, -0.166556, -0.314303, -0.107278, -0.999925, -0.00284423, -0.00871225, 0.00811656, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.723941] [0x0000007f857f99a0] [MocapTag] [0x000063df] [41] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.726447] [0x0000007f857f99a0] [MocapTag] [0x000063df] [42] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, -0.0122531, -0.00448236, -0.00252936, 0, 0, 0, 
[2024-10-16 17:54:22.729079] [0x0000007f857f99a0] [MocapTag] [0x000063df] [43] , 0, -0.166678, -0.314348, -0.107304, -0.999926, -0.00290854, -0.00856134, 0.00816679, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.731595] [0x0000007f857f99a0] [MocapTag] [0x000063df] [44] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.735832] [0x0000007f857f99a0] [MocapTag] [0x000063df] [45] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0.00839977, 0, 0.00980502, 0, -0.0541285, 0, 
[2024-10-16 17:54:22.739281] [0x0000007f857f99a0] [MocapTag] [0x000063df] [46] , 0, -0.166594, -0.314345, -0.107206, -0.999924, -0.00274719, -0.00883049, 0.00810522, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.741503] [0x0000007f857f99a0] [MocapTag] [0x000063df] [47] , 0, -0.166539, -0.3143, -0.107303, -0.999925, -0.0028135, -0.00874188, 0.00809706, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.744323] [0x0000007f857f99a0] [MocapTag] [0x000063df] [48] , 0, -0.166539, -0.3143, -0.107303, -0.999925, -0.0028135, -0.00874188, 0.00809706, 0.0055155, 0.00448259, -0.00974416, 0, 0, 0, 
[2024-10-16 17:54:22.746730] [0x0000007f857f99a0] [MocapTag] [0x000063df] [49] , 0, -0.166539, -0.3143, -0.107303, -0.999925, -0.0028135, -0.00874188, 0.00809706, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.751391] [0x0000007f857f99a0] [MocapTag] [0x000063df] [50] , 0, -0.166539, -0.3143, -0.107303, -0.999925, -0.0028135, -0.00874188, 0.00809706, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.753840] [0x0000007f857f99a0] [MocapTag] [0x000063df] [51] , 0, -0.166541, -0.314304, -0.10733, -0.999925, -0.00284282, -0.00871747, 0.00812214, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.756638] [0x0000007f857f99a0] [MocapTag] [0x000063df] [52] , 0, -0.166541, -0.314304, -0.10733, -0.999925, -0.00284282, -0.00871747, 0.00812214, 0, 0, -0.00271352, 0, 0, 0, 
[2024-10-16 17:54:22.759227] [0x0000007f857f99a0] [MocapTag] [0x000063df] [53] , 0, -0.166541, -0.314304, -0.10733, -0.999925, -0.00284282, -0.00871747, 0.00812214, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.761851] [0x0000007f857f99a0] [MocapTag] [0x000063df] [54] , 0, -0.166442, -0.314223, -0.107432, -0.999924, -0.00270373, -0.00876802, 0.00818677, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.767099] [0x0000007f857f99a0] [MocapTag] [0x000063df] [55] , 0, -0.166442, -0.314223, -0.107432, -0.999924, -0.00270373, -0.00876802, 0.00818677, 0.00993197, 0.00803509, -0.0101483, 0, 0, 0, 
[2024-10-16 17:54:22.769719] [0x0000007f857f99a0] [MocapTag] [0x000063df] [56] , 0, -0.166442, -0.314223, -0.107432, -0.999924, -0.00270373, -0.00876802, 0.00818677, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.773342] [0x0000007f857f99a0] [MocapTag] [0x000063df] [57] , 0, -0.16678, -0.314427, -0.107066, -0.999927, -0.00316454, -0.0084388, 0.00807797, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.775141] [0x0000007f857f99a0] [MocapTag] [0x000063df] [58] , 5.77319, -0.16678, -0.314427, -0.107066, -0.999927, -0.00316454, -0.0084388, 0.00807797, -0.0337584, -0.0203361, 0.0365788, 0.0914335, 0.0665303, 0, 
[2024-10-16 17:54:22.777693] [0x0000007f857f99a0] [MocapTag] [0x000063df] [59] , 5.77646, -0.16678, -0.314427, -0.107066, -0.999927, -0.00316454, -0.0084388, 0.00807797, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.780159] [0x0000007f857f99a0] [MocapTag] [0x000063df] [60] , 5.77646, -0.16678, -0.314427, -0.107066, -0.999927, -0.00316454, -0.0084388, 0.00807797, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.783672] [0x0000007f857f99a0] [MocapTag] [0x000063df] [61] , 5.77646, -0.166578, -0.314298, -0.107263, -0.999925, -0.00283996, -0.00867274, 0.00812443, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.786644] [0x0000007f857f99a0] [MocapTag] [0x000063df] [62] , 5.78646, -0.166578, -0.314298, -0.107263, -0.999925, -0.00283996, -0.00867274, 0.00812443, 0.0201728, 0.0128758, -0.0196639, -0.0644445, -0.0472877, 0, 
[2024-10-16 17:54:22.789151] [0x0000007f857f99a0] [MocapTag] [0x000063df] [63] , 5.78646, -0.166578, -0.314298, -0.107263, -0.999925, -0.00283996, -0.00867274, 0.00812443, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.791693] [0x0000007f857f99a0] [MocapTag] [0x000063df] [64] , 5.78646, -0.166582, -0.314295, -0.107259, -0.999925, -0.00284356, -0.00866303, 0.00813123, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.794322] [0x0000007f857f99a0] [MocapTag] [0x000063df] [65] , 5.78646, -0.166582, -0.314295, -0.107259, -0.999925, -0.00284356, -0.00866303, 0.00813123, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.798541] [0x0000007f857f99a0] [MocapTag] [0x000063df] [66] , 5.79648, -0.166582, -0.314295, -0.107259, -0.999925, -0.00284356, -0.00866303, 0.00813123, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.801117] [0x0000007f857f99a0] [MocapTag] [0x000063df] [67] , 5.79648, -0.166583, -0.314287, -0.107249, -0.999925, -0.00284411, -0.00866036, 0.00812232, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.803833] [0x0000007f857f99a0] [MocapTag] [0x000063df] [68] , 5.79648, -0.166583, -0.314287, -0.107249, -0.999925, -0.00284411, -0.00866036, 0.00812232, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.806388] [0x0000007f857f99a0] [MocapTag] [0x000063df] [69] , 5.79648, -0.166583, -0.314287, -0.107249, -0.999925, -0.00284411, -0.00866036, 0.00812232, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.809143] [0x0000007f857f99a0] [MocapTag] [0x000063df] [70] , 5.80649, -0.166583, -0.314287, -0.107249, -0.999925, -0.00284411, -0.00866036, 0.00812232, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.813404] [0x0000007f857f99a0] [MocapTag] [0x000063df] [71] , 5.80649, -0.166591, -0.31428, -0.107226, -0.999925, -0.00283191, -0.00868685, 0.00810313, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.816520] [0x0000007f857f99a0] [MocapTag] [0x000063df] [72] , 5.80649, -0.166591, -0.31428, -0.107226, -0.999925, -0.00283191, -0.00868685, 0.00810313, 0, 0, 0.00236471, 0, 0, 0, 
[2024-10-16 17:54:22.819299] [0x0000007f857f99a0] [MocapTag] [0x000063df] [73] , 5.81648, -0.166591, -0.31428, -0.107226, -0.999925, -0.00283191, -0.00868685, 0.00810313, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.821890] [0x0000007f857f99a0] [MocapTag] [0x000063df] [74] , 5.81648, -0.166567, -0.314293, -0.107267, -0.999925, -0.00284313, -0.00868455, 0.00813355, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.824453] [0x0000007f857f99a0] [MocapTag] [0x000063df] [75] , 5.81648, -0.166567, -0.314293, -0.107267, -0.999925, -0.00284313, -0.00868455, 0.00813355, 0.0024036, 0, -0.0041618, 0, 0, 0, 
[2024-10-16 17:54:22.829143] [0x0000007f857f99a0] [MocapTag] [0x000063df] [76] , 5.82649, -0.166567, -0.314293, -0.107267, -0.999925, -0.00284313, -0.00868455, 0.00813355, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.831695] [0x0000007f857f99a0] [MocapTag] [0x000063df] [77] , 5.82649, -0.166507, -0.314226, -0.107345, -0.999925, -0.00273744, -0.00869746, 0.00816294, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.834424] [0x0000007f857f99a0] [MocapTag] [0x000063df] [78] , 5.82649, -0.166507, -0.314226, -0.107345, -0.999925, -0.00273744, -0.00869746, 0.00816294, 0.00597055, 0.00666893, -0.00772523, 0, 0, 0, 
[2024-10-16 17:54:22.837113] [0x0000007f857f99a0] [MocapTag] [0x000063df] [79] , 5.83648, -0.166507, -0.314226, -0.107345, -0.999925, -0.00273744, -0.00869746, 0.00816294, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.839915] [0x0000007f857f99a0] [MocapTag] [0x000063df] [80] , 5.83648, -0.166507, -0.314226, -0.107345, -0.999925, -0.00273744, -0.00869746, 0.00816294, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.842363] [0x0000007f857f99a0] [MocapTag] [0x000063df] [81] , 5.83648, -0.166525, -0.314309, -0.107136, -0.999924, -0.00268933, -0.00897619, 0.00805664, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.845643] [0x0000007f857f99a0] [MocapTag] [0x000063df] [82] , 5.83648, -0.166525, -0.314309, -0.107136, -0.999924, -0.00268933, -0.00897619, 0.00805664, 0, -0.00831316, 0.0208182, 0, -0.0558827, 0, 
[2024-10-16 17:54:22.849046] [0x0000007f857f99a0] [MocapTag] [0x000063df] [83] , 5.84648, -0.166525, -0.314309, -0.107136, -0.999924, -0.00268933, -0.00897619, 0.00805664, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.850752] [0x0000007f857f99a0] [MocapTag] [0x000063df] [84] , 5.84648, -0.166591, -0.314295, -0.107327, -0.99993, -0.00272225, -0.00826811, 0.00802843, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.853576] [0x0000007f857f99a0] [MocapTag] [0x000063df] [85] , 5.84648, -0.166591, -0.314295, -0.107327, -0.99993, -0.00272225, -0.00826811, 0.00802843, -0.00666873, 0, -0.0190226, 0, 0.141653, 0, 
[2024-10-16 17:54:22.856136] [0x0000007f857f99a0] [MocapTag] [0x000063df] [86] , 5.84648, -0.166591, -0.314295, -0.107327, -0.99993, -0.00272225, -0.00826811, 0.00802843, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.860922] [0x0000007f857f99a0] [MocapTag] [0x000063df] [87] , 5.85649, -0.166591, -0.314295, -0.107327, -0.99993, -0.00272225, -0.00826811, 0.00802843, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.863576] [0x0000007f857f99a0] [MocapTag] [0x000063df] [88] , 5.85649, -0.166479, -0.314253, -0.107344, -0.999925, -0.00285434, -0.00862068, 0.0081782, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.867127] [0x0000007f857f99a0] [MocapTag] [0x000063df] [89] , 5.86648, -0.166479, -0.314253, -0.107344, -0.999925, -0.00285434, -0.00862068, 0.0081782, 0.0112634, 0.00424995, 0, 0, -0.0702145, 0, 
[2024-10-16 17:54:22.868932] [0x0000007f857f99a0] [MocapTag] [0x000063df] [90] , 5.86648, -0.166479, -0.314253, -0.107344, -0.999925, -0.00285434, -0.00862068, 0.0081782, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.871521] [0x0000007f857f99a0] [MocapTag] [0x000063df] [91] , 5.86648, -0.166506, -0.31433, -0.107181, -0.999924, -0.00268186, -0.0089093, 0.00806806, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.874172] [0x0000007f857f99a0] [MocapTag] [0x000063df] [92] , 5.86648, -0.166506, -0.31433, -0.107181, -0.999924, -0.00268186, -0.0089093, 0.00806806, -0.00277126, -0.00771541, 0.0163274, 0, -0.0580678, 0, 
[2024-10-16 17:54:22.877586] [0x0000007f857f99a0] [MocapTag] [0x000063df] [93] , 5.87648, -0.166506, -0.31433, -0.107181, -0.999924, -0.00268186, -0.0089093, 0.00806806, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.880235] [0x0000007f857f99a0] [MocapTag] [0x000063df] [94] , 5.87648, -0.166506, -0.31433, -0.107181, -0.999924, -0.00268186, -0.0089093, 0.00806806, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.882844] [0x0000007f857f99a0] [MocapTag] [0x000063df] [95] , 5.87648, -0.166564, -0.314305, -0.107316, -0.999925, -0.00284531, -0.00867289, 0.00810933, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.885628] [0x0000007f857f99a0] [MocapTag] [0x000063df] [96] , 5.87648, -0.166564, -0.314305, -0.107316, -0.999925, -0.00284531, -0.00867289, 0.00810933, -0.00579861, 0.00245551, -0.0135594, 0, 0.047572, 0, 
[2024-10-16 17:54:22.888275] [0x0000007f857f99a0] [MocapTag] [0x000063df] [97] , 5.88649, -0.166564, -0.314305, -0.107316, -0.999925, -0.00284531, -0.00867289, 0.00810933, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.892676] [0x0000007f857f99a0] [MocapTag] [0x000063df] [98] , 5.88649, -0.166564, -0.314305, -0.107316, -0.999925, -0.00284531, -0.00867289, 0.00810933, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.895772] [0x0000007f857f99a0] [MocapTag] [0x000063df] [99] , 5.88649, -0.166539, -0.31429, -0.107333, -0.999925, -0.00277568, -0.00870264, 0.00816472, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.898070] [0x0000007f857f99a0] [MocapTag] [0x000063df] [100] , 5.89648, -0.166539, -0.31429, -0.107333, -0.999925, -0.00277568, -0.00870264, 0.00816472, 0.00250351, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.900635] [0x0000007f857f99a0] [MocapTag] [0x000063df] [101] , 5.89648, -0.166539, -0.31429, -0.107333, -0.999925, -0.00277568, -0.00870264, 0.00816472, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.903262] [0x0000007f857f99a0] [MocapTag] [0x000063df] [102] , 5.89648, -0.166583, -0.314303, -0.107324, -0.999924, -0.00279892, -0.00866733, 0.00828367, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.907658] [0x0000007f857f99a0] [MocapTag] [0x000063df] [103] , 5.90647, -0.166583, -0.314303, -0.107324, -0.999924, -0.00279892, -0.00866733, 0.00828367, -0.00433051, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.910509] [0x0000007f857f99a0] [MocapTag] [0x000063df] [104] , 5.90647, -0.166583, -0.314303, -0.107324, -0.999924, -0.00279892, -0.00866733, 0.00828367, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.913136] [0x0000007f857f99a0] [MocapTag] [0x000063df] [105] , 5.90647, -0.166553, -0.314304, -0.107307, -0.999925, -0.00285573, -0.00865819, 0.00812657, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.915747] [0x0000007f857f99a0] [MocapTag] [0x000063df] [106] , 5.90647, -0.166553, -0.314304, -0.107307, -0.999925, -0.00285573, -0.00865819, 0.00812657, 0.00301519, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.918551] [0x0000007f857f99a0] [MocapTag] [0x000063df] [107] , 5.91648, -0.166553, -0.314304, -0.107307, -0.999925, -0.00285573, -0.00865819, 0.00812657, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.922858] [0x0000007f857f99a0] [MocapTag] [0x000063df] [108] , 5.91648, -0.166547, -0.314295, -0.107264, -0.999925, -0.00279997, -0.00871894, 0.00810624, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.926097] [0x0000007f857f99a0] [MocapTag] [0x000063df] [109] , 5.91648, -0.166547, -0.314295, -0.107264, -0.999925, -0.00279997, -0.00871894, 0.00810624, 0, 0, 0.00436912, 0, 0, 0, 
[2024-10-16 17:54:22.928298] [0x0000007f857f99a0] [MocapTag] [0x000063df] [110] , 5.92648, -0.166547, -0.314295, -0.107264, -0.999925, -0.00279997, -0.00871894, 0.00810624, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.930765] [0x0000007f857f99a0] [MocapTag] [0x000063df] [111] , 5.92648, -0.166549, -0.314287, -0.107296, -0.999926, -0.00283974, -0.00865263, 0.00811772, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.933769] [0x0000007f857f99a0] [MocapTag] [0x000063df] [112] , 5.92648, -0.166549, -0.314287, -0.107296, -0.999926, -0.00283974, -0.00865263, 0.00811772, 0, 0, -0.00318993, 0, 0, 0, 
[2024-10-16 17:54:22.936258] [0x0000007f857f99a0] [MocapTag] [0x000063df] [113] , 5.92648, -0.166549, -0.314287, -0.107296, -0.999926, -0.00283974, -0.00865263, 0.00811772, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.941453] [0x0000007f857f99a0] [MocapTag] [0x000063df] [114] , 5.93648, -0.166556, -0.314282, -0.107285, -0.999926, -0.002853, -0.00859973, 0.00815457, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.944134] [0x0000007f857f99a0] [MocapTag] [0x000063df] [115] , 5.93648, -0.166556, -0.314282, -0.107285, -0.999926, -0.002853, -0.00859973, 0.00815457, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.946630] [0x0000007f857f99a0] [MocapTag] [0x000063df] [116] , 5.94648, -0.166556, -0.314282, -0.107285, -0.999926, -0.002853, -0.00859973, 0.00815457, 0, 0, 0, 0, 0, 0, 
[2024-10-16 17:54:22.949496] [0x0000007f857f99a0] [MocapTag] [0x000063df] [117] , 5.94648, -0.166556, -0.314282, -0.107285, -0.999926, -0.002853, -0.00859973, 0.00815457, 0, 0, 0, 0, 0, 0, 
