[2024-07-25 21:08:05.118167] [0x0000007f9da45010] [LogDataTag] [0x0000624f] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-07-25 21:08:18.291841] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4856] , 13.2911, 431, 5.34697, -0.0406263, -0.908428, 0.152333, -0.0331082, -0.0544722, -0.0339852, -0.0672684, 0.0739524, 0.264249, -0.0196453, 0.0687869, 5.5, 0, -1, 0, 0, 0, 0.120477, -0.165303, 0, 0.0964691, 0.632332, 0, 0.0964691, 0.631967, 0.0214858, -0.553958, 0.176681, -0.00453798, -0.153034, -0.0406263, 0.091572, -0.773068, -0.0977098, 0.0421757, 0.152333, -0.0331082, -0.0544722, -0.154463, 0.098035, 0.0739524, -0.34827, 1.11837, -0.0761223, 0.16778, -0.651612, 0.047301, 5.5586, 2.59221, -24.2755, 4.09022, 3.00926, -24.518, 25.0383, 0.0387466, 0.0290031, -0.103109, 5.99295, 6.01926, 6.67491, 6.35116, 0.429433, 0.430723, 0.462118, 0.446785, 
[2024-07-25 21:08:18.301842] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4860] , 13.3011, 429, 5.34774, -0.0409728, -0.908665, 0.154552, -0.0320887, -0.0731856, -0.0330117, -0.06715, 0.0744952, 0.0637184, -0.0167008, 0.0607252, 5.5, 0, -1, 0, 0, 0, 0.121094, -0.167357, 0, 0.0222845, 0.653655, 0, 0.0222845, 0.653299, 0.0215744, -0.541206, -0.183517, -0.02207, -0.152257, -0.0409728, 0.0913345, -0.774598, -0.0981161, 0.0430914, 0.154552, -0.0320887, -0.0731856, -0.154106, 0.100207, 0.0744952, -0.349815, 1.11935, -0.0753828, 0.0414339, -0.669999, 0.0391509, 5.49516, 2.58862, -23.8051, 4.06248, 2.96777, -24.0473, 24.5679, 0.0586088, 0.0231048, -0.100477, 5.82185, 5.96812, 6.58058, 6.19736, 0.420983, 0.428213, 0.457682, 0.439388, 
[2024-07-25 21:08:18.311861] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4865] , 13.3111, 434, 5.34946, -0.0417606, -0.909105, 0.145173, -0.0333831, -0.0626961, -0.0289522, -0.0665226, 0.0754871, 0.191871, 0.131529, 0.0595069, 5.5, 0, -1, 0, 0, 0, 0.117856, -0.170596, 0, -0.00405319, 0.52559, 0, -0.00405319, 0.52537, 0.0152149, -0.674532, -0.327793, -0.0293696, -0.150544, -0.0417606, 0.0908949, -0.776121, -0.0985258, 0.0440048, 0.145173, -0.0333831, -0.0626961, -0.146808, 0.104073, 0.0754871, -0.351356, 1.12036, -0.0746378, 0.195924, -0.393841, 0.044292, 5.61282, 2.64547, -24.0388, 4.18558, 2.91921, -24.2966, 24.8267, 0.0269329, -0.00815758, -0.104658, 5.86766, 6.03115, 6.50387, 6.42403, 0.423257, 0.431305, 0.454055, 0.450263, 
[2024-07-25 21:08:18.321906] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4870] , 13.3211, 451, 5.35037, -0.042109, -0.909376, 0.186536, -0.035225, -0.0409335, -0.0276322, -0.0667714, 0.0757993, 0.205121, -0.0514657, 0.0368425, 5.5, 0, -1, 0, 0, 0, 0.119766, -0.134817, 0, -0.0668071, 0.333332, 0, -0.0668071, 0.333204, 0.00920952, -0.70466, -0.833786, -0.05135, -0.149631, -0.042109, 0.0906239, -0.777626, -0.0989434, 0.0449137, 0.186536, -0.035225, -0.0409335, -0.147398, 0.0680455, 0.0757993, -0.352824, 1.1214, -0.0738829, 0.271928, -0.38467, 0.027633, 4.81902, 2.69501, -24.5609, 3.35936, 3.00777, -24.7668, 25.1739, 0.0143524, -0.00730245, -0.0974763, 6.00272, 6.105, 6.54679, 6.5194, 0.429912, 0.434908, 0.456086, 0.454791, 
[2024-07-25 21:08:18.331821] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4874] , 13.3311, 417, 5.35139, -0.0425139, -0.909472, 0.154606, -0.0425939, -0.0493246, -0.0249215, -0.0651181, 0.0761254, 0.298431, 0.214112, 0.0560776, 5.5, 0, -1, 0, 0, 0, 0.121628, -0.160582, 0, -0.053175, 0.767866, 0, -0.053175, 0.767628, 0.0191344, -0.786419, -1.72545, -0.0775178, -0.148615, -0.0425139, 0.0905276, -0.779122, -0.0993645, 0.04582, 0.154606, -0.0425939, -0.0493246, -0.14655, 0.0954637, 0.0761254, -0.354298, 1.12208, -0.0731249, 0.351606, -0.553516, 0.0369432, 5.37963, 2.84923, -24.3538, 3.98415, 3.04573, -24.5971, 25.1031, -0.00073527, -0.0171793, -0.104127, 5.97743, 6.0622, 6.48604, 6.57746, 0.428671, 0.432822, 0.45321, 0.457534, 
[2024-07-25 21:08:18.341818] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4879] , 13.3411, 415, 5.35217, -0.0428951, -0.909739, 0.173814, -0.0374183, -0.0560365, -0.023478, -0.0640395, 0.0765666, 0.147241, 0.0340289, 0.0537401, 5.5, 0, -1, 0, 0, 0, 0.119147, -0.148117, 0, -0.00886627, 0.423964, 0, -0.00886627, 0.423847, 0.00995291, -0.600012, -0.333752, -0.0405459, -0.147828, -0.0428951, 0.0902612, -0.780608, -0.0997896, 0.0467252, 0.173814, -0.0374183, -0.0560365, -0.142625, 0.0840771, 0.0765666, -0.355763, 1.12303, -0.0723637, 0.156107, -0.389818, 0.0437872, 5.00086, 2.77007, -24.1764, 3.64025, 2.95298, -24.3969, 24.8431, 0.0332189, -0.00218307, -0.105812, 5.87005, 6.0313, 6.54033, 6.40146, 0.423375, 0.431312, 0.455781, 0.449187, 
[2024-07-25 21:08:18.351932] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4884] , 13.3511, 474, 5.3533, -0.0432479, -0.909802, 0.191528, -0.0393816, -0.0269782, -0.0217323, -0.0627974, 0.077049, 0.228571, 0.211672, 0.0552675, 5.5, 0, -1, 0, 0, 0, 0.11813, -0.129588, 0, -0.027655, 0.404257, 0, -0.027655, 0.404162, 0.00878475, -0.144047, -0.495716, -0.0371111, -0.146704, -0.0432479, 0.0901979, -0.782087, -0.100219, 0.0476279, 0.191528, -0.0393816, -0.0269782, -0.139863, 0.0667908, 0.077049, -0.35719, 1.12387, -0.071598, 0.256226, -0.19249, 0.0464827, 4.63755, 2.82208, -24.8919, 3.26935, 3.00261, -25.0874, 25.477, 0.0305527, -0.0191801, -0.10801, 5.98557, 6.22193, 6.6546, 6.61494, 0.429071, 0.440575, 0.461165, 0.4593, 
[2024-07-25 21:08:18.361843] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4889] , 13.3611, 448, 5.35415, -0.0436497, -0.909966, 0.146836, -0.0470137, -0.0638003, -0.0199996, -0.0600923, 0.0775291, 0.197116, 0.274883, 0.0662717, 5.5, 0, -1, 0, 0, 0, 0.122863, -0.171874, 0, -0.0477632, 0.627359, 0, -0.0477632, 0.627233, 0.0125461, 0.163481, -0.567081, -0.0296378, -0.145854, -0.0436497, 0.0900338, -0.783554, -0.100651, 0.0485298, 0.146836, -0.0470137, -0.0638003, -0.142863, 0.111782, 0.0775291, -0.358588, 1.12454, -0.0708275, 0.244879, -0.352351, 0.0537256, 5.4405, 2.9811, -23.9815, 4.20461, 3.03577, -24.2219, 24.7709, 0.0434816, -0.0194714, -0.111781, 5.76981, 6.06607, 6.51578, 6.41921, 0.418391, 0.433011, 0.45462, 0.450033, 
[2024-07-25 21:08:18.371811] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4893] , 13.3711, 415, 5.3551, -0.0440248, -0.910178, 0.205134, -0.0380564, -0.0319996, -0.018726, -0.0586201, 0.07814, 0.162683, 0.119462, 0.0695497, 5.5, 0, -1, 0, 0, 0, 0.117003, -0.122976, 0, 0.0267554, -0.0514291, 0, 0.0267554, -0.0514201, -0.000963004, 0.277851, 0.357684, -0.00251836, -0.144899, -0.0440248, 0.0898224, -0.785012, -0.101088, 0.0494302, 0.205134, -0.0380564, -0.0319996, -0.135729, 0.0643564, 0.07814, -0.360017, 1.12566, -0.0700522, 0.135928, 0.170882, 0.0705127, 4.33119, 2.83166, -24.7543, 3.08095, 2.95219, -24.9268, 25.2894, 0.0601345, -0.0373276, -0.119068, 5.79813, 6.26117, 6.65515, 6.57492, 0.419803, 0.442466, 0.461191, 0.457414, 
[2024-07-25 21:08:18.381829] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4897] , 13.3811, 418, 5.35621, -0.0443453, -0.910209, 0.171684, -0.0478543, -0.0440303, -0.0177394, -0.0558626, 0.0783238, 0.12261, 0.334332, 0.0214723, 5.5, 0, -1, 0, 0, 0, 0.122512, -0.151486, 0, -0.0384934, 0.440497, 0, -0.0384934, 0.440427, 0.00781373, 0.573611, -1.58311, -0.0322083, -0.143792, -0.0443453, 0.0897905, -0.786461, -0.101528, 0.0503284, 0.171684, -0.0478543, -0.0440303, -0.140251, 0.0956238, 0.0783238, -0.361374, 1.1263, -0.0692708, 0.161103, -0.106095, 0.0136585, 4.91652, 3.0276, -24.4621, 3.76452, 3.07155, -24.6602, 25.1343, 0.0677253, -0.0583435, -0.0934224, 5.75136, 6.35646, 6.51659, 6.50984, 0.41747, 0.447038, 0.454658, 0.454338, 
[2024-07-25 21:08:18.391874] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4902] , 13.3911, 445, 5.35621, -0.0443453, -0.910209, 0.171684, -0.0478543, -0.0440303, -0.0177394, -0.0558626, 0.0783238, 0.12261, 0.334332, 0.0214723, 5.5, 0, -1, 0, 0, 0, 0.122532, -0.151654, 0, 0.0270977, 0.130304, 0, 0.0270977, 0.130284, 0.0023114, 0.407345, -0.798505, -0.0135109, -0.143792, -0.0443453, 0.0897905, -0.787899, -0.101971, 0.0512263, 0.171684, -0.0478543, -0.0440303, -0.140272, 0.0957911, 0.0783238, -0.362777, 1.12726, -0.0684876, 0.0955121, 0.204048, 0.0191609, 4.92185, 3.02925, -24.4677, 3.76964, 3.07288, -24.6661, 25.1409, 0.072794, -0.0734568, -0.0953648, 5.69806, 6.40356, 6.49574, 6.54358, 0.4148, 0.449287, 0.45367, 0.455935, 
[2024-07-25 21:08:18.401830] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4906] , 13.4011, 417, 5.3595, -0.0455659, -0.910768, 0.191295, -0.0383391, -0.0301456, -0.0150004, -0.0462613, 0.0789061, 0.0691471, 0.439603, 0.0143918, 5.5, 0, -1, 0, 0, 0, 0.115412, -0.139873, 0, 0.0519477, -0.0297057, 0, 0.0519477, -0.0297024, -0.000445582, 0.426776, -1.17346, -0.0167439, -0.140496, -0.0455659, 0.0892316, -0.789337, -0.102415, 0.0521242, 0.191295, -0.0383391, -0.0301456, -0.130412, 0.0936119, 0.0789061, -0.364179, 1.12822, -0.0677044, 0.0171993, 0.469305, 0.0148374, 4.44496, 2.90314, -24.7766, 3.5092, 2.91793, -24.9246, 25.339, 0.0805325, -0.106173, -0.0939312, 5.64974, 6.55795, 6.47532, 6.65597, 0.41237, 0.456613, 0.452701, 0.461229, 
[2024-07-25 21:08:18.411870] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4911] , 13.4111, 458, 5.36053, -0.0459282, -0.910976, 0.181212, -0.0570181, -0.0537531, -0.0138212, -0.0428668, 0.079061, 0.19556, 0.324528, 0.0252371, 5.5, 0, -1, 0, 0, 0, 0.130355, -0.155028, 0, -0.0593616, 0.0931321, 0, -0.0593616, 0.0931232, 0.00128716, 0.427842, -1.76126, -0.0253214, -0.139468, -0.0459282, 0.0890243, -0.790742, -0.10287, 0.0530165, 0.181212, -0.0570181, -0.0537531, -0.144176, 0.112161, 0.079061, -0.365484, 1.12915, -0.0669153, 0.254922, 0.231405, 0.02395, 4.59995, 3.26537, -24.1879, 3.80249, 3.22845, -24.3309, 24.837, 0.050711, -0.100388, -0.0992138, 5.59343, 6.33727, 6.31028, 6.59598, 0.409526, 0.44612, 0.444826, 0.458407, 
[2024-07-25 21:08:18.421817] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4915] , 13.4211, 417, 5.3616, -0.0463565, -0.911174, 0.187216, -0.0461539, -0.0262187, -0.012874, -0.0391811, 0.0791212, 0.0677262, 0.427224, 0.0182493, 5.5, 0, -1, 0, 0, 0, 0.119897, -0.147332, 0, 0.140249, -0.110203, 0, 0.140249, -0.110194, -0.00141872, -0.0957281, -1.3012, -0.0189263, -0.138399, -0.0463565, 0.0888257, -0.792137, -0.10333, 0.0539068, 0.187216, -0.0461539, -0.0262187, -0.132771, 0.108151, 0.0791212, -0.366925, 1.13027, -0.0661247, -0.0725231, 0.537418, 0.019668, 4.45534, 3.0828, -24.8567, 3.7078, 3.0429, -24.984, 25.4403, 0.0795579, -0.120101, -0.0965639, 5.63508, 6.6103, 6.46921, 6.72567, 0.41163, 0.459082, 0.452411, 0.464496, 
[2024-07-25 21:08:18.431869] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4919] , 13.4311, 455, 5.36265, -0.0466745, -0.911307, 0.184759, -0.0402958, -0.0497558, -0.0129957, -0.0352469, 0.0793089, 0.0125163, 0.431816, 0.0309079, 5.5, 0, -1, 0, 0, 0, 0.118625, -0.155865, 0, 0.0383072, -0.0588943, 0, 0.0383072, -0.0588893, -0.00076535, 0.284067, -1.39329, -0.0195455, -0.137346, -0.0466745, 0.0886931, -0.793521, -0.103793, 0.054795, 0.184759, -0.0402958, -0.0497558, -0.13162, 0.120618, 0.0793089, -0.368253, 1.13136, -0.0653335, -0.0257909, 0.490705, 0.0316733, 4.46806, 2.98862, -24.2747, 3.83244, 2.94243, -24.3888, 24.8628, 0.0835602, -0.121365, -0.102271, 5.4644, 6.46418, 6.34466, 6.58953, 0.402958, 0.452172, 0.446474, 0.458103, 
[2024-07-25 21:08:18.441820] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4924] , 13.4411, 410, 5.36479, -0.0473882, -0.911664, 0.175479, -0.047012, -0.0409967, -0.0110273, -0.0271914, 0.0797298, 0.0322125, 0.454682, 0.0439807, 5.5, 0, -1, 0, 0, 0, 0.12147, -0.166869, 0, -0.0330265, -0.163428, 0, -0.0330265, -0.163418, -0.00180213, 0.115614, -0.921648, -0.0126734, -0.135212, -0.0473882, 0.0883359, -0.794894, -0.10426, 0.0556819, 0.175479, -0.047012, -0.0409967, -0.132497, 0.139678, 0.0797298, -0.369569, 1.13256, -0.0645404, 0.0652389, 0.6181, 0.0457829, 4.56819, 3.1432, -24.4713, 4.13692, 3.0404, -24.5608, 25.0917, 0.064777, -0.130801, -0.109376, 5.52239, 6.48571, 6.35274, 6.73084, 0.405919, 0.453194, 0.44686, 0.464737, 
[2024-07-25 21:08:18.451859] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4928] , 13.4511, 430, 5.36479, -0.0473882, -0.911664, 0.175479, -0.047012, -0.0409967, -0.0110273, -0.0271914, 0.0797298, 0.0322125, 0.454682, 0.0439807, 5.5, 0, -1, 0, 0, 0, 0.121495, -0.167029, 0, -0.0136032, -0.359342, 0, -0.0136032, -0.35932, -0.00396247, -0.307131, -0.729484, -0.00823884, -0.135212, -0.0473882, 0.0883359, -0.796246, -0.104734, 0.0565653, 0.175479, -0.047012, -0.0409967, -0.132522, 0.139838, 0.0797298, -0.370894, 1.13396, -0.0637431, 0.0458157, 0.814002, 0.0479432, 4.5732, 3.14496, -24.4768, 4.1419, 3.04181, -24.5665, 25.0982, 0.0547433, -0.146328, -0.110272, 5.50466, 6.50228, 6.2941, 6.79714, 0.405015, 0.45398, 0.444049, 0.467832, 
[2024-07-25 21:08:18.461925] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4933] , 13.4611, 463, 5.36579, -0.0476934, -0.911917, 0.200812, -0.041683, -0.03658, -0.0103545, -0.0242212, 0.0798578, 0.149876, 0.325596, 0.00833687, 5.5, 0, -1, 0, 0, 0, 0.119054, -0.149339, 0, -0.00247915, -0.390604, 0, -0.00247915, -0.390583, -0.00404444, -0.47457, -1.13762, -0.0109545, -0.134213, -0.0476934, 0.0880835, -0.797598, -0.105208, 0.0574487, 0.200812, -0.041683, -0.03658, -0.129409, 0.125118, 0.0798578, -0.372219, 1.13536, -0.0629458, 0.152356, 0.716178, 0.0123813, 4.07277, 3.06011, -24.5737, 3.70749, 2.98076, -24.6412, 25.0962, 0.0311668, -0.13997, -0.0939552, 5.61383, 6.47235, 6.21654, 6.79349, 0.410558, 0.45256, 0.440315, 0.467661, 
[2024-07-25 21:08:18.471881] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4938] , 13.4711, 448, 5.36702, -0.0479894, -0.91202, 0.194991, -0.0439649, -0.0213473, -0.00927575, -0.0196596, 0.0799478, 0.115515, 0.514075, 0.0184621, 5.5, 0, -1, 0, 0, 0, 0.118305, -0.154185, 0, -0.0362383, -0.0588207, 0, -0.0362383, -0.0588182, -0.000545598, -0.439791, -1.27656, -0.01056, -0.132983, -0.0479894, 0.0879795, -0.798941, -0.105685, 0.0583295, 0.194991, -0.0439649, -0.0213473, -0.12758, 0.134526, 0.0799478, -0.373514, 1.13661, -0.0621472, 0.151754, 0.572893, 0.0190077, 4.14125, 3.11594, -24.9465, 3.88562, 3.00728, -25.0009, 25.4792, 0.0315227, -0.131685, -0.0973388, 5.7217, 6.53934, 6.34265, 6.8755, 0.415985, 0.455734, 0.446377, 0.471475, 
[2024-07-25 21:08:18.481889] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4943] , 13.4811, 459, 5.36702, -0.0479894, -0.91202, 0.194991, -0.0439649, -0.0213473, -0.00927575, -0.0196596, 0.0799478, 0.115515, 0.514075, 0.0184621, 5.5, 0, -1, 0, 0, 0, 0.118331, -0.154345, 0, -0.0572904, 0.0190315, 0, -0.0572904, 0.0190307, 0.000176529, -0.430356, 0.182499, 0.00549649, -0.132983, -0.0479894, 0.0879795, -0.80027, -0.106165, 0.0592093, 0.194991, -0.0439649, -0.0213473, -0.127607, 0.134685, 0.0799478, -0.374789, 1.13795, -0.0613477, 0.172806, 0.495044, 0.0182856, 4.14618, 3.11772, -24.952, 3.89057, 3.00871, -25.0065, 25.4856, 0.0285595, -0.0954289, -0.0964266, 5.82519, 6.44353, 6.42827, 6.7886, 0.421149, 0.451191, 0.450465, 0.467434, 
[2024-07-25 21:08:18.491845] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4947] , 13.4911, 432, 5.37023, -0.0488295, -0.912603, 0.193459, -0.0384545, -0.0257364, -0.00730841, -0.00990904, 0.0808191, 0.0491321, 0.304453, 0.0433356, 5.5, 0, -1, 0, 0, 0, 0.114538, -0.161699, 0, -0.0569594, 0.0476931, 0, -0.0569594, 0.0476919, 0.000348558, -0.394636, 1.5231, 0.0188727, -0.129766, -0.0488295, 0.0873966, -0.8016, -0.106644, 0.0600891, 0.193459, -0.0384545, -0.0257364, -0.121847, 0.15179, 0.0808191, -0.376065, 1.1393, -0.0605483, 0.106091, 0.256761, 0.042987, 4.06353, 3.05082, -24.8101, 4.05051, 2.89435, -24.831, 25.3251, 0.0371239, -0.0512334, -0.108207, 5.85007, 6.28048, 6.54976, 6.64478, 0.422385, 0.443395, 0.456227, 0.460703, 
[2024-07-25 21:08:18.501907] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4952] , 13.5011, 444, 5.37023, -0.0488295, -0.912603, 0.193459, -0.0384545, -0.0257364, -0.00730841, -0.00990904, 0.0808191, 0.0491321, 0.304453, 0.0433356, 5.5, 0, -1, 0, 0, 0, 0.114567, -0.161856, 0, -0.108391, -0.0650028, 0, -0.108391, -0.065001, -0.000475063, -0.267946, 2.25525, 0.0248319, -0.129766, -0.0488295, 0.0873966, -0.802898, -0.107133, 0.0609631, 0.193459, -0.0384545, -0.0257364, -0.121876, 0.151947, 0.0808191, -0.377284, 1.14082, -0.0597401, 0.157523, 0.369454, 0.0438106, 4.06834, 3.05262, -24.8155, 4.0554, 2.89581, -24.8364, 25.3314, 0.0330802, -0.0479778, -0.108401, 5.86866, 6.26411, 6.55104, 6.64762, 0.423306, 0.442607, 0.456287, 0.460837, 
[2024-07-25 21:08:18.511854] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4956] , 13.5111, 430, 5.3725, -0.0493823, -0.912922, 0.186225, -0.0418147, -0.0321827, -0.00539066, -0.00445755, 0.0818123, 0.0441083, 0.203165, 0.065821, 5.5, 0, -1, 0, 0, 0, 0.116383, -0.171104, 0, -0.113213, -0.106692, 0, -0.113213, -0.10669, -0.000575136, -0.29881, 1.81796, 0.0200046, -0.127503, -0.0493823, 0.0870779, -0.804196, -0.107621, 0.061837, 0.186225, -0.0418147, -0.0321827, -0.121773, 0.166646, 0.0818123, -0.378503, 1.14234, -0.0589319, 0.157321, 0.309855, 0.0663961, 4.12563, 3.1387, -24.6409, 4.25845, 2.92394, -24.6448, 25.1803, 0.0321028, -0.0554922, -0.120415, 5.78429, 6.21385, 6.52132, 6.66085, 0.419114, 0.440185, 0.454881, 0.461458, 
[2024-07-25 21:08:18.521838] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4960] , 13.5211, 431, 5.3737, -0.0495838, -0.913072, 0.218054, -0.0285913, 0.00230192, -0.00481298, -0.00297128, 0.0822171, 0.0811383, 0.184285, 0.0437229, 5.5, 0, -1, 0, 0, 0, 0.105627, -0.1422, 0, -0.0681745, -0.25593, 0, -0.0681745, -0.255927, -0.00123178, -0.265338, 0.879163, 0.0110078, -0.126301, -0.0495838, 0.0869284, -0.805471, -0.108115, 0.0627078, 0.218054, -0.0285913, 0.00230192, -0.11044, 0.139228, 0.0822171, -0.37972, 1.144, -0.0581138, 0.149313, 0.440212, 0.0449547, 3.49723, 2.90351, -25.4838, 3.64813, 2.72917, -25.4819, 25.886, 0.0285354, -0.0778693, -0.111025, 5.93447, 6.46266, 6.60922, 6.87961, 0.426557, 0.4521, 0.459031, 0.471666, 
[2024-07-25 21:08:18.531902] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4965] , 13.5311, 466, 5.37487, -0.0497693, -0.913178, 0.175688, -0.0399249, -0.032396, -0.00455251, -0.000511123, 0.0824835, 0.0188086, 0.212396, 0.0332642, 5.5, 0, -1, 0, 0, 0, 0.114378, -0.179804, 0, -0.209546, 0.18182, 0, -0.209546, 0.181818, 0.000827737, -0.00500572, -0.604365, -0.000954212, -0.125125, -0.0497693, 0.0868223, -0.806734, -0.108611, 0.0635771, 0.175688, -0.0399249, -0.032396, -0.118931, 0.179293, 0.0824835, -0.380825, 1.1454, -0.0572916, 0.228354, 0.0305777, 0.0324365, 4.24459, 3.12274, -24.6292, 4.47485, 2.87452, -24.6187, 25.1866, 0.028652, -0.0797551, -0.105663, 5.76772, 6.30611, 6.41663, 6.69616, 0.418287, 0.444626, 0.44991, 0.463114, 
[2024-07-25 21:08:18.541898] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4970] , 13.5411, 483, 5.37595, -0.0500581, -0.913447, 0.209691, -0.0477466, -0.0115769, -0.0035816, 0.000378642, 0.0829448, 0.146258, 0.0814139, 0.0568161, 5.5, 0, -1, 0, 0, 0, 0.119971, -0.152089, 0, -0.0981994, -0.256326, 0, -0.0981994, -0.256325, -0.000918057, -0.338646, 0.075628, -0.00196396, -0.124054, -0.0500581, 0.0865534, -0.807985, -0.109108, 0.0644453, 0.209691, -0.0477466, -0.0115769, -0.123553, 0.152467, 0.0829448, -0.382014, 1.14719, -0.0564667, 0.244457, 0.337739, 0.0577342, 3.58051, 3.28102, -25.128, 3.84955, 3.06307, -25.1158, 25.593, 0.0181429, -0.0879265, -0.11842, 5.84075, 6.37357, 6.50491, 6.87382, 0.421922, 0.447856, 0.454104, 0.471397, 
[2024-07-25 21:08:18.551868] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4974] , 13.5511, 429, 5.37726, -0.0502801, -0.913533, 0.202273, -0.029041, -0.00734433, -0.00343218, 0.00214161, 0.0835424, -0.0179142, 0.214266, 0.0514064, 5.5, 0, -1, 0, 0, 0, 0.105963, -0.155863, 0, 0.055997, 0.0353422, 0, 0.055997, 0.035342, 0.000121301, -0.0866669, -1.07632, -0.00877702, -0.122738, -0.0502801, 0.0864671, -0.809225, -0.109609, 0.0653108, 0.202273, -0.029041, -0.00734433, -0.109395, 0.158005, 0.0835424, -0.38325, 1.14871, -0.0556373, -0.0739112, 0.178924, 0.0512851, 3.67512, 2.94509, -25.2316, 3.96208, 2.7147, -25.214, 25.6674, 0.0682808, -0.0967183, -0.11599, 5.72952, 6.53391, 6.60822, 6.79573, 0.416377, 0.455477, 0.458984, 0.467766, 
[2024-07-25 21:08:18.561824] [0x0000007f7b7fd9a0] [LogDataTag] [0x0000624f] [4979] , 13.5611, 419, 5.37838, -0.0504372, -0.913786, 0.189469, -0.0342224, -0.0217447, -0.0037844, 0.00285874, 0.0838703, 0.00905653, 0.0141483, 0.0340546, 5.5, 0, -1, 0, 0, 0, 0.110987, -0.167059, 0, -0.109253, 0.0976238, 0, -0.109253, 0.0976231, 0.000369447, 0.702221, -0.577453, -0.00779496, -0.121616, -0.0504372, 0.0862145, -0.810453, -0.110112, 0.0661755, 0.189469, -0.0342224, -0.0217447, -0.114772, 0.169917, 0.0838703, -0.384344, 1.15029, -0.0548019, 0.118309, -0.0834748, 0.0336851, 3.87651, 3.04922, -24.8659, 4.18939, 2.80779, -24.8436, 25.3503, 0.0654119, -0.0650171, -0.10797, 5.75774, 6.38661, 6.58405, 6.62196, 0.417789, 0.448479, 0.457845, 0.45963, 
