[2024-10-16 17:54:17.983659] [0x0000007f8e48c010] [LogDataTag] [0x000063df] [1] , Controller Time [s], Algorithm Execution Time [us], Position x [m], Position y [m], Position z [m], Velocity x [m/s], Velocity y [m/s], Velocity z [m/s], Phi [rad], Theta [rad], Psi [rad], omega_x [rad/s], omega_y [rad/s], omega_z [rad/s], User Position x [m], User Position y [m], User Position z [m], User Velocity x [m], User Velocity y [m], User Velocity z [m], Desired Phi [rad], Desired Theta [rad], Desired Psi [rad], Deisred Phi rate [rad/s], Deisred Theta rate [rad/s], Deisred Psi rate [rad/s], Desired Omega_x [rad/s], Desired Omega_y [rad/s], Desired Omega_z [rad/s], Desired Alpha_x [rad/s^2], Desired Alpha_y [rad/s^2], Desired Alpha_z [rad/s^2], Error in x [m], Error in y [m], Error in z [m], Integral Error in x [m], Integral Error in y [m], Integral Error in z [m], Error in vx [m/s], Error in vy [m/s], Error in vz [m/s], Error in Phi [rad], Error in Theta [rad], Error in Psi [rad], Integral Error in Phi [rad], Integral Error in Theta [rad], Integral Error in Psi [rad], Error in omega_x [rad/s], Error in omega_y [rad/s], Error in omega_z [rad/s], Virtual Mu x I [N], Virtual Mu y I [N], Virtual Mu z I [N], Virtual Mu x J [N], Virtual Mu y J [N], Virtual Mu z J [N], u1 [N], u2 [Nm], u3 [Nm], u4 [Nm], Thrust Motor 1 [N], Thrust Motor 2 [N], Thrust Motor 3 [N], Thrust Motor 4 [N], Normalized Thrust Motor 1 [-], Normalized Thrust Motor 2 [-], Normalized Thrust Motor 3 [-], Normalized Thrust Motor 4 [-], 
[2024-10-16 17:54:32.017805] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4889] , 15.0165, 686, 1.58474e-05, 1.92509e-05, 3.62247e-05, 0.00617311, -0.00688903, -0.0292958, -0.0129448, -0.00526067, 2.09119e-05, 0.0107585, -0.0005774, 0.00154285, 0, 0, -1.00533e-08, 0, 0, -2.42992e-06, 0.0198331, 0.0115041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58474e-05, 1.92509e-05, 3.62348e-05, 0, 0, 0, 0.00617311, -0.00688903, -0.0292934, -0.0327779, -0.0167647, 2.09119e-05, 0, 0, 0, 0.0107585, -0.0005774, 0.00154285, -0.120346, 0.132834, -19.2811, -0.221772, 0.382396, -19.2769, 19.2819, 0.0154184, 0.00593587, -0.000279715, 4.80019, 4.8394, 4.87122, 4.77113, 0.367973, 0.370097, 0.371814, 0.366394, 
[2024-10-16 17:54:32.027364] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4895] , 15.0265, 509, 2.88971e-05, 2.97514e-05, 6.53826e-05, 0.00505311, -0.00658486, -0.0309857, -0.0129839, -0.00530286, 3.05524e-05, -0.00725647, -0.000984305, 0.00293364, 0, 0, -6.63026e-08, 0, 0, -9.97004e-06, 0.0195573, 0.0104554, 0, 0.31733, 0.184065, 0, 0.31733, 0.18405, 0.00238981, 0, 0, 0, 2.88971e-05, 2.97514e-05, 6.54489e-05, 1.58474e-07, 1.92509e-07, 3.62348e-07, 0.00505311, -0.00658486, -0.0309757, -0.0325411, -0.0157583, 3.05524e-05, -0.000327779, -0.000167647, 2.09119e-07, -0.324586, -0.185034, 0.000543832, -0.0991129, 0.126495, -19.2413, -0.201141, 0.376296, -19.2372, 19.242, 0.0684648, 0.025171, 0.0019129, 4.7251, 4.90529, 5.02496, 4.58662, 0.363885, 0.373648, 0.380043, 0.356272, 
[2024-10-16 17:54:32.037359] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4901] , 15.0365, 492, 4.80898e-05, 4.14939e-05, 7.43382e-05, 0.0061304, -0.00701087, -0.0292788, -0.0129417, -0.00528815, 1.42053e-05, 0.00980754, -0.000842544, -0.00582593, 0, 0, -2.37368e-07, 0, 0, -2.587e-05, 0.0199018, 0.0115495, 0, 0.401769, 0.218825, 0, 0.401769, 0.218807, 0.00283189, 1.18999, 0.690186, 0.00896178, 4.80898e-05, 4.14939e-05, 7.45755e-05, 4.47445e-07, 4.90024e-07, 1.01684e-06, 0.0061304, -0.00701087, -0.0292529, -0.0328435, -0.0168377, 1.42053e-05, -0.00065319, -0.00032523, 5.14643e-07, -0.391961, -0.21965, -0.00865783, -0.120736, 0.134269, -19.2883, -0.222731, 0.383864, -19.284, 19.2891, 0.117161, 0.0438841, 0.00834373, 4.69069, 4.9949, 5.17891, 4.42464, 0.362002, 0.378443, 0.388171, 0.347241, 
[2024-10-16 17:54:32.047352] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4908] , 15.0465, 501, 9.16496e-05, 6.26044e-05, 9.63397e-05, 0.00679493, -0.00618779, -0.0293754, -0.0130182, -0.00528491, 1.89269e-05, 0.000305569, 0.00661769, -0.00412735, 0, 0, -6.21415e-07, 0, 0, -5.30818e-05, 0.0191041, 0.012299, 0, 0.380152, 0.216613, 0, 0.380152, 0.216594, 0.00281983, 2.10163, 1.16562, 0.0151005, 9.16496e-05, 6.26044e-05, 9.69611e-05, 9.28342e-07, 9.04962e-07, 1.76259e-06, 0.00679493, -0.00618779, -0.0293223, -0.0321223, -0.0175839, 1.89269e-05, -0.000981625, -0.000493607, 6.56695e-07, -0.379846, -0.209977, -0.00694718, -0.135272, 0.117422, -19.2907, -0.237217, 0.368525, -19.2866, 19.2915, 0.14375, 0.0532158, 0.00859221, 4.65577, 5.03224, 5.26288, 4.34065, 0.360086, 0.38043, 0.392558, 0.342503, 
[2024-10-16 17:54:32.057321] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4913] , 15.0565, 491, 9.16496e-05, 6.26044e-05, 9.63397e-05, 0.00679493, -0.00618779, -0.0293754, -0.0130182, -0.00528491, 1.89269e-05, 0.000305569, 0.00661769, -0.00412735, 0, 0, -1.34578e-06, 0, 0, -9.44743e-05, 0.0191026, 0.0122976, 0, 0.297052, 0.192973, 0, 0.297052, 0.192956, 0.00251209, 2.17889, 1.22249, 0.0158842, 9.16496e-05, 6.26044e-05, 9.76855e-05, 1.84484e-06, 1.53101e-06, 2.7322e-06, 0.00679493, -0.00618779, -0.0292809, -0.0321208, -0.0175825, 1.89269e-05, -0.00130285, -0.000669446, 8.45965e-07, -0.296747, -0.186339, -0.00663944, -0.135275, 0.117419, -19.295, -0.237243, 0.368578, -19.2909, 19.2958, 0.133025, 0.0519161, 0.00812435, 4.67659, 5.01128, 5.23755, 4.37043, 0.361229, 0.379315, 0.391238, 0.344187, 
[2024-10-16 17:54:32.067338] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4919] , 15.0665, 499, 0.000122394, 7.12012e-05, 8.13305e-05, 0.00587793, -0.00670396, -0.0322144, -0.0130113, -0.00539001, 4.00315e-05, -0.0053536, -0.010558, 0.00303042, 0, 0, -2.56849e-06, 0, 0, -0.000152936, 0.0196197, 0.0115629, 0, 0.212936, 0.151673, 0, 0.212936, 0.15166, 0.0019734, 1.38049, 0.870881, 0.0113468, 0.000122394, 7.12012e-05, 8.3899e-05, 2.76133e-06, 2.15705e-06, 3.70906e-06, 0.00587793, -0.00670396, -0.0320614, -0.032631, -0.0169529, 4.00315e-05, -0.00162406, -0.000845271, 1.03523e-06, -0.21829, -0.162218, 0.00105702, -0.118651, 0.127072, -19.2263, -0.222273, 0.377205, -19.2221, 19.227, 0.0954401, 0.0416708, 0.00294948, 4.70529, 4.92273, 5.12191, 4.47711, 0.362802, 0.374584, 0.385175, 0.350181, 
[2024-10-16 17:54:32.077338] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4926] , 15.0765, 497, 0.000206392, 0.000105974, 0.000103079, 0.00725402, -0.00535051, -0.0288224, -0.0129553, -0.00528049, 3.89286e-06, 0.0136297, 0.00120597, -0.0110298, 0, 0, -4.47159e-06, 0, 0, -0.000231079, 0.0180968, 0.012969, 0, 0.150129, 0.0974791, 0, 0.150129, 0.0974709, 0.00126284, 0.121129, 0.234592, 0.00308708, 0.000206392, 0.000105974, 0.00010755, 3.98528e-06, 2.86906e-06, 4.54805e-06, 0.00725402, -0.00535051, -0.0285913, -0.0310521, -0.0182495, 3.89286e-06, -0.00195037, -0.0010148, 1.43555e-06, -0.136499, -0.0962649, -0.0122926, -0.148519, 0.099366, -19.3215, -0.250543, 0.349654, -19.3176, 19.3223, 0.0419011, 0.0216103, 0.00747856, 4.80974, 4.8882, 4.96225, 4.66216, 0.368491, 0.372728, 0.3767, 0.360437, 
[2024-10-16 17:54:32.087414] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4933] , 15.0865, 513, 0.000206392, 0.000105974, 0.000103079, 0.00725402, -0.00535051, -0.0288224, -0.0129553, -0.00528049, 3.89286e-06, 0.0136297, 0.00120597, -0.0110298, 0, 0, -7.27586e-06, 0, 0, -0.00033188, 0.0180946, 0.0129663, 0, 0.0741068, 0.0805337, 0, 0.0741068, 0.080527, 0.00104331, -1.0892, -0.504483, -0.00654415, 0.000206392, 0.000105974, 0.000110355, 6.0492e-06, 3.92881e-06, 5.62355e-06, 0.00725402, -0.00535051, -0.0284905, -0.0310499, -0.0182468, 3.89286e-06, -0.00226089, -0.00119729, 1.47448e-06, -0.0604772, -0.079321, -0.0120731, -0.148526, 0.0993621, -19.3291, -0.250591, 0.349748, -19.3252, 19.33, -0.00852895, 0.00411626, 0.00537838, 4.87553, 4.8159, 4.81056, 4.82798, 0.372046, 0.368825, 0.368535, 0.369479, 
[2024-10-16 17:54:32.097323] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4939] , 15.0965, 497, 0.000255369, 0.000103418, 0.000125684, 0.00937247, -0.00649158, -0.0312859, -0.0129092, -0.00532358, 0.000234865, 0.0174281, 0.00958496, 0.0334771, 0, 0, -1.11783e-05, 0, 0, -0.000456573, 0.0192179, 0.0152576, 0, 0.0287643, 0.0601501, 0, 0.0287643, 0.0601451, 0.000776468, -2.00973, -0.996208, -0.0129548, 0.000255369, 0.000103418, 0.000136862, 8.11312e-06, 4.98855e-06, 6.7271e-06, 0.00937247, -0.00649158, -0.0308293, -0.0321271, -0.0205812, 0.000234865, -0.00257139, -0.00137976, 1.51341e-06, -0.0113362, -0.0505601, 0.0327007, -0.191476, 0.121599, -19.2762, -0.294063, 0.370451, -19.2717, 19.2775, -0.0455386, -0.00856374, -0.0182219, 4.85548, 4.69368, 4.73936, 4.98898, 0.370965, 0.362167, 0.364664, 0.378127, 
[2024-10-16 17:54:32.107390] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4945] , 15.1065, 504, 0.000255369, 0.000103418, 0.000125684, 0.00937247, -0.00649158, -0.0312859, -0.0129092, -0.00532358, 0.000234865, 0.0174281, 0.00958496, 0.0334771, 0, 0, -1.65061e-05, 0, 0, -0.000609685, 0.0192144, 0.0152529, 0, 0.022185, 0.0782177, 0, 0.022185, 0.0782112, 0.0010097, -2.36773, -1.19238, -0.0155247, 0.000255369, 0.000103418, 0.00014219, 1.06668e-05, 6.02273e-06, 8.09572e-06, 0.00937247, -0.00649158, -0.0306762, -0.0321236, -0.0205764, 0.000234865, -0.00289266, -0.00158557, 3.86206e-06, -0.00475689, -0.0686262, 0.0324674, -0.191486, 0.121596, -19.2863, -0.294126, 0.370578, -19.2818, 19.2877, -0.0579296, -0.0108103, -0.0186053, 4.8793, 4.67305, 4.70909, 5.0262, 0.372249, 0.361035, 0.36301, 0.380109, 
[2024-10-16 17:54:32.117369] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4952] , 15.1165, 550, 0.000279669, 0.000106859, 9.83812e-05, 0.00506735, -0.00534297, -0.0368922, -0.013018, -0.00555385, 0.000253476, -0.020204, -0.0220239, -0.000662613, 0, 0, -2.34716e-05, 0, 0, -0.000791457, 0.0181965, 0.0112404, 0, 0.0156842, 0.0735767, 0, 0.0156842, 0.0735705, 0.000957791, -2.06897, -0.973669, -0.0126963, 0.000279669, 0.000106859, 0.000121853, 1.32205e-05, 7.05691e-06, 9.51762e-06, 0.00506735, -0.00534297, -0.0361008, -0.0312144, -0.0167943, 0.000253476, -0.00321389, -0.00179134, 6.21071e-06, -0.0358882, -0.0955943, -0.0016204, -0.1089, 0.0991675, -19.1516, -0.215238, 0.348482, -19.1478, 19.1521, -0.0435451, -0.00462345, -0.00138425, 4.87113, 4.69814, 4.68123, 4.90164, 0.371809, 0.362411, 0.361484, 0.373452, 
[2024-10-16 17:54:32.127329] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4958] , 15.1265, 492, 0.000321269, 0.000116905, 8.44784e-05, 0.00893166, -0.00500766, -0.0311561, -0.01311, -0.00571246, 0.000137202, -0.0475241, -0.0204384, -0.0226212, 0, 0, -3.24219e-05, 0, 0, -0.00100529, 0.017886, 0.0153166, 0, -0.00597256, -0.00443689, 0, -0.00597256, -0.00443651, -5.81658e-05, -1.35203, -0.58362, -0.00759564, 0.000321269, 0.000116905, 0.0001169, 1.60172e-05, 8.12551e-06, 1.07361e-05, 0.00893166, -0.00500766, -0.0301508, -0.030996, -0.0210291, 0.000137202, -0.00352604, -0.00195928, 8.74547e-06, -0.0415515, -0.0160019, -0.022563, -0.185441, 0.0922406, -19.311, -0.295738, 0.3454, -19.3068, 19.3122, -0.0197324, -0.00331958, 0.00994624, 4.88855, 4.81643, 4.75051, 4.85667, 0.372747, 0.368853, 0.365272, 0.371029, 
[2024-10-16 17:54:32.137469] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4964] , 15.1366, 520, 0.000385158, 0.00011197, 8.34055e-05, 0.0112247, -0.0115307, -0.0342208, -0.0131425, -0.00572058, 0.000158619, -0.0492352, -0.00650807, -0.0200611, 0, 0, -4.37874e-05, 0, 0, -0.00125544, 0.0245185, 0.0177943, 0, -0.0195128, 0.0271667, 0, -0.0195128, 0.0271644, 0.000357028, -0.557538, -0.437704, -0.00568106, 0.000385158, 0.00011197, 0.000127193, 1.92299e-05, 9.29456e-06, 1.19051e-05, 0.0112247, -0.0115307, -0.0329654, -0.037661, -0.0235149, 0.000158619, -0.003836, -0.00216957, 1.01175e-05, -0.0297224, -0.0336724, -0.0204182, -0.232344, 0.218978, -19.2466, -0.342407, 0.471915, -19.2404, 19.2492, 0.0070363, 0.0025255, 0.00981791, 4.82703, 4.84586, 4.81054, 4.76581, 0.369427, 0.370446, 0.368534, 0.366105, 
[2024-10-16 17:54:32.147340] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4970] , 15.1465, 506, 0.000541557, 0.00010466, -1.61864e-05, 0.0139847, -0.00535968, -0.0373952, -0.0132356, -0.00590949, -0.00011563, -0.101821, -0.0210506, -0.0458461, 0, 0, -5.75745e-05, 0, 0, -0.00153674, 0.0184234, 0.0211311, 0, 0.0837706, 0.076369, 0, 0.0837706, 0.0763623, 0.00101076, 0.126942, -0.100338, -0.00126788, 0.000541557, 0.00010466, 4.13881e-05, 2.30815e-05, 1.04143e-05, 1.31771e-05, 0.0139847, -0.00535968, -0.0358584, -0.0316589, -0.0270406, -0.00011563, -0.00421261, -0.00240472, 1.17037e-05, -0.185591, -0.0974129, -0.0468568, -0.2918, 0.0995708, -19.1736, -0.405112, 0.353267, -19.1685, 19.1761, 0.0506865, 0.0176662, 0.0246159, 4.78534, 4.92371, 4.89328, 4.57373, 0.367167, 0.374637, 0.373002, 0.355558, 
[2024-10-16 17:54:32.157342] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4977] , 15.1565, 501, 0.000541557, 0.00010466, -1.61864e-05, 0.0139847, -0.00535968, -0.0373952, -0.0132356, -0.00590949, -0.00011563, -0.101821, -0.0210506, -0.0458461, 0, 0, -7.45476e-05, 0, 0, -0.00185941, 0.0184184, 0.0211182, 0, 0.0182899, 0.139187, 0, 0.0182899, 0.139174, 0.00184216, 0.995879, 0.362264, 0.00481047, 0.000541557, 0.00010466, 5.83612e-05, 2.8497e-05, 1.14609e-05, 1.3591e-05, 0.0139847, -0.00535968, -0.0355358, -0.031654, -0.0270277, -0.00011563, -0.0045292, -0.00267513, 1.05474e-05, -0.12011, -0.160225, -0.0476882, -0.29182, 0.099567, -19.1911, -0.405235, 0.353495, -19.186, 19.1936, 0.0678676, 0.0341645, 0.0258064, 4.79614, 4.92752, 4.97583, 4.49407, 0.367753, 0.374841, 0.377426, 0.351129, 
[2024-10-16 17:54:32.167484] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4983] , 15.1666, 536, 0.000747737, 0.000114648, -0.000172865, 0.0147175, -0.00126809, -0.043137, -0.0127269, -0.00600609, -0.000202645, -0.000906396, 0.0129557, 0.0370923, 0, 0, -9.51061e-05, 0, 0, -0.00222492, 0.0137583, 0.0224799, 0, -0.0135269, 0.144351, 0, -0.0135269, 0.144339, 0.00183709, 1.15306, 0.854194, 0.0112844, 0.000747737, 0.000114648, -7.77586e-05, 3.39126e-05, 1.25075e-05, 1.41746e-05, 0.0147175, -0.00126809, -0.0409121, -0.0264852, -0.028486, -0.000202645, -0.00484574, -0.0029454, 9.39109e-06, 0.0126205, -0.131384, 0.0352552, -0.313835, 0.0197771, -19.0515, -0.428258, 0.262144, -19.0475, 19.0541, 0.0479989, 0.0421112, -0.0150406, 4.72612, 4.727, 5.01688, 4.58413, 0.363941, 0.363989, 0.379614, 0.356134, 
[2024-10-16 17:54:32.177315] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4989] , 15.1765, 487, 0.000905264, 7.95349e-05, -0.00038968, 0.00663663, -0.0141601, -0.0276089, -0.0129459, -0.00614008, -0.000421494, -0.0178034, -0.0273369, -0.0571179, 0, 0, -0.00011912, 0, 0, -0.00262586, 0.0268846, 0.01453, 0, -0.0999242, 0.145313, 0, -0.0999242, 0.145301, 0.00188116, 0.863367, 1.02896, 0.0132997, 0.000905264, 7.95349e-05, -0.00027056, 4.13899e-05, 1.36539e-05, 1.3397e-05, 0.00663663, -0.0141601, -0.024983, -0.0398304, -0.0206701, -0.000421494, -0.00511059, -0.00323026, 7.36464e-06, 0.0821208, -0.172638, -0.058999, -0.163051, 0.271318, -19.4563, -0.282625, 0.523081, -19.4498, 19.4589, 0.0360618, 0.0474675, 0.0309907, 4.98116, 4.90066, 4.99169, 4.58539, 0.37771, 0.373398, 0.378272, 0.356204, 
[2024-10-16 17:54:32.187365] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [4995] , 15.1865, 497, 0.000956502, 3.39272e-05, -0.000463642, 0.00331555, -0.00125047, -0.0428318, -0.013232, -0.00596691, 9.57934e-06, -0.137675, 0.0444827, 0.0353562, 0, 0, -0.000147694, 0, 0, -0.00307547, 0.0144255, 0.0112397, 0, 0.0880695, -0.00471142, 0, 0.0880695, -0.004711, -6.23394e-05, 0.106266, 0.906405, 0.0116515, 0.000956502, 3.39272e-05, -0.000315948, 5.04426e-05, 1.44493e-05, 1.06914e-05, 0.00331555, -0.00125047, -0.0397564, -0.0276575, -0.0172066, 9.57934e-06, -0.00550889, -0.00343696, 3.1497e-06, -0.225744, 0.0491937, 0.0354185, -0.100595, 0.0227907, -19.0821, -0.214454, 0.275264, -19.0792, 19.0824, 0.0532284, 0.0200886, -0.0151139, 4.66473, 4.80216, 4.97948, 4.63603, 0.360578, 0.36808, 0.377621, 0.358999, 
[2024-10-16 17:54:32.197419] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5002] , 15.1966, 510, 0.000971805, -3.74126e-05, -0.000590529, 0.0120144, -0.0162759, -0.0372511, -0.0128504, -0.0062507, 8.13305e-05, 0.0694941, -0.0101541, 0.0642079, 0, 0, -0.000180969, 0, 0, -0.00357019, 0.0293327, 0.0202842, 0, -0.0426496, -0.122613, 0, -0.0426496, -0.122603, -0.00157558, 0.21685, 0.0253395, 0.000214375, 0.000971805, -3.74126e-05, -0.000409561, 6.00076e-05, 1.47886e-05, 7.53191e-06, 0.0120144, -0.0162759, -0.0336809, -0.0421831, -0.0265349, 8.13305e-05, -0.00578547, -0.00360903, 3.2455e-06, 0.112144, 0.112449, 0.0657835, -0.26995, 0.317229, -19.2412, -0.39019, 0.564448, -19.2335, 19.2457, 0.0103304, -0.00211182, -0.0319173, 4.70423, 4.76172, 4.90781, 4.87197, 0.362744, 0.365882, 0.373783, 0.371854, 
[2024-10-16 17:54:32.207370] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5009] , 15.2065, 520, 0.000971805, -3.74126e-05, -0.000590529, 0.0120144, -0.0162759, -0.0372511, -0.0128504, -0.0062507, 8.13305e-05, 0.0694941, -0.0101541, 0.0642079, 0, 0, -0.000219096, 0, 0, -0.00410745, 0.0293104, 0.020267, 0, 0.145173, -0.0101595, 0, 0.145173, -0.0101587, -0.00013055, -0.244621, -1.08389, -0.0140917, 0.000971805, -3.74126e-05, -0.000371433, 6.97257e-05, 1.44144e-05, 3.4363e-06, 0.0120144, -0.0162759, -0.0331437, -0.0421608, -0.0265177, 8.13305e-05, -0.0062073, -0.00387438, 4.0588e-06, -0.0756793, 4.56495e-06, 0.0643384, -0.269986, 0.31723, -19.2674, -0.390389, 0.564787, -19.2597, 19.2719, 0.0254757, -0.013745, -0.0312585, 4.64836, 4.83392, 4.91712, 4.87252, 0.359678, 0.3698, 0.374283, 0.371884, 
[2024-10-16 17:54:32.217384] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5016] , 15.2165, 562, 0.000961877, -3.79251e-05, -0.000733655, -0.00395841, -0.0164879, -0.0375678, -0.013247, -0.00600956, -9.7369e-05, 0.0328508, -0.0291443, -0.0480057, 0, 0, -0.000263065, 0, 0, -0.0046961, 0.0299161, 0.00392715, 0, 0.20423, 0.0406698, 0, 0.20423, 0.0406662, 0.000538735, 0.174767, -1.22317, -0.0158795, 0.000961877, -3.79251e-05, -0.00047059, 7.94437e-05, 1.40403e-05, -2.78033e-07, -0.00395841, -0.0164879, -0.0328717, -0.0431631, -0.00993671, -9.7369e-05, -0.00662891, -0.00413956, 4.87211e-06, -0.17138, -0.0698106, -0.0485445, 0.0401981, 0.321366, -19.2774, -0.0756819, 0.5767, -19.2714, 19.2801, 0.0560145, -0.0150701, 0.0250767, 4.71652, 5.04683, 4.84627, 4.67051, 0.363417, 0.381205, 0.370467, 0.360896, 
[2024-10-16 17:54:32.227384] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5022] , 15.2265, 546, 0.000931501, -0.000104032, -0.000943556, 0.00542434, -0.0195052, -0.0276872, -0.0130406, -0.00576253, 6.6429e-05, 0.0656846, -0.0647705, 0.0217368, 0, 0, -0.000313113, 0, 0, -0.00533403, 0.0326129, 0.0129636, 0, 0.20723, -0.20491, 0, 0.20723, -0.204892, -0.00267207, 0.66708, -0.831248, -0.0107406, 0.000931501, -0.000104032, -0.000630443, 8.90625e-05, 1.36611e-05, -4.98393e-06, 0.00542434, -0.0195052, -0.0223532, -0.0456535, -0.0187261, 6.6429e-05, -0.00706054, -0.00423892, 3.89842e-06, -0.141545, 0.140122, 0.0244089, -0.1407, 0.38265, -19.547, -0.253312, 0.63751, -19.5392, 19.5512, 0.0671835, -0.0259907, -0.0101973, 4.64436, 5.08112, 4.99798, 4.82777, 0.359458, 0.383021, 0.378607, 0.369467, 
[2024-10-16 17:54:32.237389] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5029] , 15.2365, 536, 0.000931501, -0.000104032, -0.000943556, 0.00542434, -0.0195052, -0.0276872, -0.0130406, -0.00576253, 6.6429e-05, 0.0656846, -0.0647705, 0.0217368, 0, 0, -0.000369945, 0, 0, -0.00602509, 0.0325807, 0.0129534, 0, 0.218542, -0.135596, 0, 0.218542, -0.135585, -0.00176821, 0.880794, -1.25034, -0.0162419, 0.000931501, -0.000104032, -0.000573612, 9.83775e-05, 1.26207e-05, -1.12884e-05, 0.00542434, -0.0195052, -0.0216621, -0.0456213, -0.0187159, 6.6429e-05, -0.00751707, -0.00442618, 4.56271e-06, -0.152858, 0.0708141, 0.023505, -0.140735, 0.382654, -19.5794, -0.253533, 0.637937, -19.5716, 19.5837, 0.0757472, -0.0275371, -0.00968515, 4.63042, 5.11379, 5.0202, 4.81924, 0.358691, 0.384747, 0.37979, 0.369006, 
[2024-10-16 17:54:32.247403] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5035] , 15.2465, 553, 0.000831667, -7.21677e-05, -0.00101281, -0.0106503, -0.0185348, -0.03663, -0.0132046, -0.00573016, -0.000189509, -0.00578025, 0.0437392, -0.0453229, 0, 0, -0.000433851, 0, 0, -0.00676776, 0.0319095, -0.00328822, 0, 0.188038, -0.0835657, 0, 0.188038, -0.0835584, -0.00110342, 0.863301, -0.992166, -0.0129178, 0.000831667, -7.21677e-05, -0.000578959, 0.000107693, 1.15804e-05, -1.70245e-05, -0.0106503, -0.0185348, -0.0298622, -0.0451141, -0.00244193, -0.000189509, -0.00797329, -0.00461334, 5.227e-06, -0.193818, 0.127298, -0.0442195, 0.174818, 0.362506, -19.3789, 0.0637033, 0.6184, -19.3731, 19.3831, 0.082336, -0.0337472, 0.0240266, 4.63235, 5.17732, 4.88615, 4.68727, 0.358797, 0.388088, 0.372618, 0.361815, 
[2024-10-16 17:54:32.257313] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5041] , 15.2565, 532, 0.000783738, -6.29642e-05, -0.00102575, 0.00393062, 0.00885992, -0.0315245, -0.0129434, -0.0057513, 9.84666e-05, -0.0211259, 0.051455, 0.0215268, 0, 0, -0.000505418, 0, 0, -0.00756399, 0.00428263, 0.0111876, 0, 0.13379, -0.307168, 0, 0.13379, -0.307142, -0.00397568, 0.519964, -0.355398, -0.00470237, 0.000783738, -6.29642e-05, -0.000520337, 0.000116009, 1.08587e-05, -2.28141e-05, 0.00393062, 0.00885992, -0.0239605, -0.017226, -0.0169389, 9.84666e-05, -0.00842443, -0.00463776, 3.33191e-06, -0.154916, 0.358597, 0.0255025, -0.106248, -0.169285, -19.546, -0.218677, 0.0837124, -19.5456, 19.547, 0.0498204, -0.0396976, -0.0111393, 4.64507, 5.07368, 4.92489, 4.90339, 0.359497, 0.382627, 0.374699, 0.373546, 
[2024-10-16 17:54:32.267416] [0x0000007f537fd9a0] [LogDataTag] [0x000063df] [5048] , 15.2665, 579, 0.000783738, -6.29642e-05, -0.00102575, 0.00393062, 0.00885992, -0.0315245, -0.0129434, -0.0057513, 9.84666e-05, -0.0211259, 0.051455, 0.0215268, 0, 0, -0.000585285, 0, 0, -0.00841598, 0.00429997, 0.0111782, 0, -0.353515, -0.124793, 0, -0.353515, -0.124783, -0.0016152, -0.0709568, -0.627411, -0.00813618, 0.000783738, -6.29642e-05, -0.00044047, 0.000123847, 1.02291e-05, -2.80174e-05, 0.00393062, 0.00885992, -0.0231085, -0.0172434, -0.0169295, 9.84666e-05, -0.00859669, -0.00480715, 4.31658e-06, 0.332389, 0.176238, 0.023142, -0.106277, -0.169282, -19.5849, -0.21893, 0.0842187, -19.5846, 19.586, -0.0461331, -0.0260787, -0.013218, 4.90133, 4.82666, 4.75793, 5.10004, 0.373435, 0.369408, 0.365676, 0.384021, 
