[2025-02-03 17:53:05.855926] [0x0000007f808d0010] [MocapTag] [0x00005f2f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:53:07.887767] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [675] , 2.88433, -0.0308344, -0.203058, -0.149352, -0.999699, 0.00594809, 0.00993335, 0.0216104, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.894613] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [676] , 2.88433, -0.0308344, -0.203058, -0.149352, -0.999699, 0.00594809, 0.00993335, 0.0216104, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.895243] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [677] , 2.89432, -0.0308385, -0.203071, -0.149348, -0.999699, 0.00598186, 0.00993116, 0.0216074, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.897967] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [678] , 2.89432, -0.0308385, -0.203071, -0.149348, -0.999699, 0.00598186, 0.00993116, 0.0216074, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.900538] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [679] , 2.89432, -0.0308385, -0.203071, -0.149348, -0.999699, 0.00598186, 0.00993116, 0.0216074, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.903161] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [680] , 2.89432, -0.0308353, -0.20307, -0.149346, -0.999699, 0.00593996, 0.00992563, 0.0216466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.906101] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [681] , 2.90431, -0.0308353, -0.20307, -0.149346, -0.999699, 0.00593996, 0.00992563, 0.0216466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.908934] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [682] , 2.90431, -0.0308353, -0.20307, -0.149346, -0.999699, 0.00593996, 0.00992563, 0.0216466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.911711] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [683] , 2.90431, -0.0308353, -0.20307, -0.149346, -0.999699, 0.00593996, 0.00992563, 0.0216466, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.914278] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [684] , 2.90431, -0.0308315, -0.203066, -0.149344, -0.999698, 0.00598426, 0.0099883, 0.021649, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.917334] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [685] , 2.91433, -0.0308315, -0.203066, -0.149344, -0.999698, 0.00598426, 0.0099883, 0.021649, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.920087] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [686] , 2.91433, -0.0308315, -0.203066, -0.149344, -0.999698, 0.00598426, 0.0099883, 0.021649, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.923920] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [687] , 2.91433, -0.0308315, -0.203066, -0.149344, -0.999698, 0.00598426, 0.0099883, 0.021649, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.926472] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [688] , 2.92433, -0.0308217, -0.20304, -0.149326, -0.999698, 0.00596563, 0.00995203, 0.0216732, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.929314] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [689] , 2.92433, -0.0308217, -0.20304, -0.149326, -0.999698, 0.00596563, 0.00995203, 0.0216732, 0, 0.00261288, 0, 0, 0, 0, 
[2025-02-03 17:53:07.932209] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [690] , 2.92433, -0.0308217, -0.20304, -0.149326, -0.999698, 0.00596563, 0.00995203, 0.0216732, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.934781] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [691] , 2.93433, -0.0308164, -0.203033, -0.149328, -0.999698, 0.0059744, 0.00996835, 0.0216401, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.939701] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [692] , 2.93433, -0.0308164, -0.203033, -0.149328, -0.999698, 0.0059744, 0.00996835, 0.0216401, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.942406] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [693] , 2.93433, -0.0308164, -0.203033, -0.149328, -0.999698, 0.0059744, 0.00996835, 0.0216401, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.945642] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [694] , 2.94433, -0.0308317, -0.20302, -0.149326, -0.999699, 0.00597511, 0.00995184, 0.021637, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.949813] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [695] , 2.94433, -0.0308317, -0.20302, -0.149326, -0.999699, 0.00597511, 0.00995184, 0.021637, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.950720] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [696] , 2.94433, -0.0308317, -0.20302, -0.149326, -0.999699, 0.00597511, 0.00995184, 0.021637, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.955103] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [697] , 2.95433, -0.0308271, -0.203024, -0.149343, -0.999698, 0.00600183, 0.0099372, 0.0216609, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.957896] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [698] , 2.95433, -0.0308271, -0.203024, -0.149343, -0.999698, 0.00600183, 0.0099372, 0.0216609, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.960585] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [699] , 2.95433, -0.0308271, -0.203024, -0.149343, -0.999698, 0.00600183, 0.0099372, 0.0216609, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.963156] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [700] , 2.95433, -0.0308288, -0.203021, -0.149344, -0.999698, 0.00600476, 0.00992632, 0.0216413, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.966095] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [701] , 2.96433, -0.0308288, -0.203021, -0.149344, -0.999698, 0.00600476, 0.00992632, 0.0216413, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.971886] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [702] , 2.96433, -0.0308288, -0.203021, -0.149344, -0.999698, 0.00600476, 0.00992632, 0.0216413, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.973201] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [703] , 2.96433, -0.0308288, -0.203021, -0.149344, -0.999698, 0.00600476, 0.00992632, 0.0216413, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.975817] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [704] , 2.97433, -0.0308249, -0.203034, -0.14935, -0.999699, 0.00599177, 0.00987982, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.978363] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [705] , 2.97433, -0.0308249, -0.203034, -0.14935, -0.999699, 0.00599177, 0.00987982, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.981041] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [706] , 2.97433, -0.0308249, -0.203034, -0.14935, -0.999699, 0.00599177, 0.00987982, 0.0216603, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.983773] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [707] , 2.97433, -0.0308411, -0.203036, -0.149346, -0.999698, 0.00602061, 0.00992035, 0.0216683, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.987311] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [708] , 2.98433, -0.0308411, -0.203036, -0.149346, -0.999698, 0.00602061, 0.00992035, 0.0216683, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.989911] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [709] , 2.98433, -0.0308411, -0.203036, -0.149346, -0.999698, 0.00602061, 0.00992035, 0.0216683, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.992572] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [710] , 2.98433, -0.0308411, -0.203036, -0.149346, -0.999698, 0.00602061, 0.00992035, 0.0216683, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.997047] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [711] , 2.99433, -0.0308468, -0.203049, -0.149338, -0.999698, 0.00602279, 0.00995524, 0.0216613, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:07.998037] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [712] , 2.99433, -0.0308468, -0.203049, -0.149338, -0.999698, 0.00602279, 0.00995524, 0.0216613, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.002585] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [713] , 2.99433, -0.0308468, -0.203049, -0.149338, -0.999698, 0.00602279, 0.00995524, 0.0216613, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.005061] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [714] , 3.00433, -0.0308501, -0.203053, -0.149346, -0.999698, 0.00598983, 0.00992447, 0.0216923, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.007940] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [715] , 3.00433, -0.0308501, -0.203053, -0.149346, -0.999698, 0.00598983, 0.00992447, 0.0216923, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.010523] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [716] , 3.00433, -0.0308501, -0.203053, -0.149346, -0.999698, 0.00598983, 0.00992447, 0.0216923, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.013141] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [717] , 3.00433, -0.0308378, -0.203053, -0.149349, -0.999698, 0.0059727, 0.00996221, 0.0216674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.016062] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [718] , 3.01433, -0.0308378, -0.203053, -0.149349, -0.999698, 0.0059727, 0.00996221, 0.0216674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.019410] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [719] , 3.01433, -0.0308378, -0.203053, -0.149349, -0.999698, 0.0059727, 0.00996221, 0.0216674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.021973] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [720] , 3.01433, -0.0308378, -0.203053, -0.149349, -0.999698, 0.0059727, 0.00996221, 0.0216674, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.024398] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [721] , 3.01433, -0.0308203, -0.203052, -0.149348, -0.999698, 0.00597003, 0.00996817, 0.0216473, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.027334] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [722] , 3.02434, -0.0308203, -0.203052, -0.149348, -0.999698, 0.00597003, 0.00996817, 0.0216473, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.030960] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [723] , 3.02434, -0.0308203, -0.203052, -0.149348, -0.999698, 0.00597003, 0.00996817, 0.0216473, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.034209] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [724] , 3.02434, -0.0308203, -0.203052, -0.149348, -0.999698, 0.00597003, 0.00996817, 0.0216473, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.036808] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [725] , 3.03434, -0.0308232, -0.20304, -0.149338, -0.999698, 0.00599333, 0.00993057, 0.0216429, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.039707] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [726] , 3.03434, -0.0308232, -0.20304, -0.149338, -0.999698, 0.00599333, 0.00993057, 0.0216429, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.043056] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [727] , 3.03434, -0.0308232, -0.20304, -0.149338, -0.999698, 0.00599333, 0.00993057, 0.0216429, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.045213] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [728] , 3.04433, -0.0308149, -0.203036, -0.149339, -0.999699, 0.00597847, 0.00995453, 0.0216346, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.052398] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [729] , 3.04433, -0.0308149, -0.203036, -0.149339, -0.999699, 0.00597847, 0.00995453, 0.0216346, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.052956] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [730] , 3.04433, -0.0308149, -0.203036, -0.149339, -0.999699, 0.00597847, 0.00995453, 0.0216346, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.055055] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [731] , 3.05431, -0.0308192, -0.203029, -0.149337, -0.999699, 0.00597072, 0.00991621, 0.0216319, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.059970] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [732] , 3.05431, -0.0308192, -0.203029, -0.149337, -0.999699, 0.00597072, 0.00991621, 0.0216319, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.060537] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [733] , 3.05431, -0.0308192, -0.203029, -0.149337, -0.999699, 0.00597072, 0.00991621, 0.0216319, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.063041] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [734] , 3.05431, -0.0308205, -0.203048, -0.14936, -0.999699, 0.0059881, 0.00995652, 0.021617, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.067342] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [735] , 3.06431, -0.0308205, -0.203048, -0.14936, -0.999699, 0.0059881, 0.00995652, 0.021617, 0, 0, -0.00231402, 0, 0, 0, 
[2025-02-03 17:53:08.069951] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [736] , 3.06431, -0.0308205, -0.203048, -0.14936, -0.999699, 0.0059881, 0.00995652, 0.021617, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.073126] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [737] , 3.06431, -0.0308205, -0.203048, -0.14936, -0.999699, 0.0059881, 0.00995652, 0.021617, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.075374] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [738] , 3.07433, -0.0308114, -0.203059, -0.149359, -0.999698, 0.00597088, 0.00998787, 0.0216235, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.081731] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [739] , 3.07433, -0.0308114, -0.203059, -0.149359, -0.999698, 0.00597088, 0.00998787, 0.0216235, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.084420] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [740] , 3.07433, -0.0308114, -0.203059, -0.149359, -0.999698, 0.00597088, 0.00998787, 0.0216235, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.085434] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [741] , 3.08433, -0.0308123, -0.203053, -0.149357, -0.999698, 0.00595908, 0.00996069, 0.0216457, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.088216] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [742] , 3.08433, -0.0308123, -0.203053, -0.149357, -0.999698, 0.00595908, 0.00996069, 0.0216457, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.090834] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [743] , 3.08433, -0.0308123, -0.203053, -0.149357, -0.999698, 0.00595908, 0.00996069, 0.0216457, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.093536] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [744] , 3.08433, -0.0308097, -0.203055, -0.149352, -0.999699, 0.00593321, 0.00992025, 0.0216331, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.099352] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [745] , 3.09433, -0.0308097, -0.203055, -0.149352, -0.999699, 0.00593321, 0.00992025, 0.0216331, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.100660] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [746] , 3.09433, -0.0308097, -0.203055, -0.149352, -0.999699, 0.00593321, 0.00992025, 0.0216331, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.104197] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [747] , 3.09433, -0.0307466, -0.203084, -0.149503, -0.999692, 0.00628072, 0.0102225, 0.0217198, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.106211] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [748] , 3.10432, -0.0307466, -0.203084, -0.149503, -0.999692, 0.00628072, 0.0102225, 0.0217198, 0.0063097, -0.00288782, -0.0150597, -0.0710011, 0.0588158, 0, 
[2025-02-03 17:53:08.108700] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [749] , 3.10432, -0.0307466, -0.203084, -0.149503, -0.999692, 0.00628072, 0.0102225, 0.0217198, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.113678] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [750] , 3.10432, -0.0307466, -0.203084, -0.149503, -0.999692, 0.00628072, 0.0102225, 0.0217198, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.116352] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [751] , 3.11431, -0.0308068, -0.203038, -0.149346, -0.999699, 0.00593913, 0.0100186, 0.0216099, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.119172] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [752] , 3.11431, -0.0308068, -0.203038, -0.149346, -0.999699, 0.00593913, 0.0100186, 0.0216099, -0.00601837, 0.00460646, 0.0156187, 0.0694275, -0.039148, 0, 
[2025-02-03 17:53:08.122093] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [753] , 3.11431, -0.0308068, -0.203038, -0.149346, -0.999699, 0.00593913, 0.0100186, 0.0216099, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.124551] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [754] , 3.11431, -0.0308009, -0.203039, -0.149352, -0.999699, 0.00593625, 0.0100127, 0.0216154, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.129864] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [755] , 3.12433, -0.0308009, -0.203039, -0.149352, -0.999699, 0.00593625, 0.0100127, 0.0216154, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.131285] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [756] , 3.12433, -0.0308009, -0.203039, -0.149352, -0.999699, 0.00593625, 0.0100127, 0.0216154, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.133901] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [757] , 3.12433, -0.0307944, -0.203033, -0.149347, -0.999698, 0.00594678, 0.00997179, 0.021642, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.136978] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [758] , 3.13432, -0.0307944, -0.203033, -0.149347, -0.999698, 0.00594678, 0.00997179, 0.021642, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.139546] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [759] , 3.13432, -0.0307944, -0.203033, -0.149347, -0.999698, 0.00594678, 0.00997179, 0.021642, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.143336] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [760] , 3.13432, -0.0307944, -0.203033, -0.149347, -0.999698, 0.00594678, 0.00997179, 0.021642, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.145927] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [761] , 3.14432, -0.0307748, -0.203037, -0.149354, -0.999699, 0.00592205, 0.00995253, 0.0216431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.148914] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [762] , 3.14432, -0.0307748, -0.203037, -0.149354, -0.999699, 0.00592205, 0.00995253, 0.0216431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.151422] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [763] , 3.14432, -0.0307748, -0.203037, -0.149354, -0.999699, 0.00592205, 0.00995253, 0.0216431, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.154173] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [764] , 3.14432, -0.0307697, -0.20304, -0.149353, -0.999699, 0.00593802, 0.0099867, 0.0216179, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.158727] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [765] , 3.15433, -0.0307697, -0.20304, -0.149353, -0.999699, 0.00593802, 0.0099867, 0.0216179, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.161144] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [766] , 3.15433, -0.0307697, -0.20304, -0.149353, -0.999699, 0.00593802, 0.0099867, 0.0216179, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.163931] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [767] , 3.15433, -0.0307885, -0.20304, -0.149343, -0.999698, 0.00594825, 0.00996013, 0.0216427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.166681] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [768] , 3.16433, -0.0307885, -0.20304, -0.149343, -0.999698, 0.00594825, 0.00996013, 0.0216427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.169725] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [769] , 3.16433, -0.0307885, -0.20304, -0.149343, -0.999698, 0.00594825, 0.00996013, 0.0216427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.173877] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [770] , 3.16433, -0.0307885, -0.20304, -0.149343, -0.999698, 0.00594825, 0.00996013, 0.0216427, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.176426] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [771] , 3.17433, -0.0308115, -0.203052, -0.149343, -0.999699, 0.00591866, 0.00992717, 0.0216563, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.179342] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [772] , 3.17433, -0.0308115, -0.203052, -0.149343, -0.999699, 0.00591866, 0.00992717, 0.0216563, -0.00229384, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.181957] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [773] , 3.17433, -0.0308115, -0.203052, -0.149343, -0.999699, 0.00591866, 0.00992717, 0.0216563, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.184928] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [774] , 3.18433, -0.0308036, -0.20306, -0.149351, -0.999698, 0.00596567, 0.00994164, 0.0216496, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.189205] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [775] , 3.18433, -0.0308036, -0.20306, -0.149351, -0.999698, 0.00596567, 0.00994164, 0.0216496, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.191985] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [776] , 3.18433, -0.0308036, -0.20306, -0.149351, -0.999698, 0.00596567, 0.00994164, 0.0216496, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.194550] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [777] , 3.18433, -0.0307959, -0.203057, -0.14934, -0.999698, 0.00598367, 0.0100011, 0.0216488, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.197292] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [778] , 3.19434, -0.0307959, -0.203057, -0.14934, -0.999698, 0.00598367, 0.0100011, 0.0216488, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.202871] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [779] , 3.19434, -0.0307959, -0.203057, -0.14934, -0.999698, 0.00598367, 0.0100011, 0.0216488, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.204271] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [780] , 3.19434, -0.0307959, -0.203057, -0.14934, -0.999698, 0.00598367, 0.0100011, 0.0216488, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.207007] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [781] , 3.20433, -0.0308136, -0.203053, -0.14934, -0.999698, 0.00597404, 0.00999242, 0.0216585, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.210304] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [782] , 3.20433, -0.0308136, -0.203053, -0.14934, -0.999698, 0.00597404, 0.00999242, 0.0216585, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.212507] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [783] , 3.20433, -0.0308136, -0.203053, -0.14934, -0.999698, 0.00597404, 0.00999242, 0.0216585, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.215175] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [784] , 3.21433, -0.0308076, -0.203057, -0.149351, -0.999697, 0.00594841, 0.0100157, 0.0216656, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:08.219716] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [785] , 3.21433, -0.0308076, -0.203057, -0.149351, -0.999697, 0.00594841, 0.0100157, 0.0216656, 0, 0, 0, 0, 0, 0, 
